pattern,month,median_cdd24,median_hdd18,median_tmean_c
Pattern 1,1,0.0,367.62500008940697,6.141129029373969
Pattern 1,2,0.0,301.20000290870667,7.494642862251826
Pattern 1,3,0.0,139.6999979019165,13.670967809615597
Pattern 1,4,0.20000076293945312,58.099996566772454,17.48333349227905
Pattern 1,5,3.5000019073486257,11.900000572204593,20.87661298628776
Pattern 1,6,37.64999866485596,0.0,24.40999984741211
Pattern 1,7,115.39999771118164,0.0,27.716128933814264
Pattern 1,8,123.3499927520752,0.0,27.862903041224325
Pattern 1,9,33.94999885559082,0.09999847412109375,23.868333435058595
Pattern 1,10,0.0,52.05000305175781,17.436290279511482
Pattern 1,11,0.0,153.55000114440918,12.935000085830689
Pattern 1,12,0.0,334.2499978542328,7.0919355240560344
Pattern 2,1,0.0,343.09999853372574,6.932258111815298
Pattern 2,2,0.0,301.20000290870667,7.613793003148046
Pattern 2,3,0.0,120.34999656677246,14.212903299639303
Pattern 2,4,0.8999996185302734,42.94999980926514,18.271666971842446
Pattern 2,5,9.950002670288086,6.399999618530275,21.872580651314028
Pattern 2,6,60.64999771118164,0.0,25.538333638509116
Pattern 2,7,150.44999313354492,0.0,28.853225584953062
Pattern 2,8,159.399995803833,0.0,29.141935348510742
Pattern 2,9,66.05000305175781,0.0,24.650000127156577
Pattern 2,10,0.0,48.449997901916504,18.01612884767594
Pattern 2,11,0.0,122.24999952316284,13.968333276112874
Pattern 2,12,0.0,311.60000145435333,7.916666698455811
Pattern 3,1,0.0,406.2749997973442,4.894354845246961
Pattern 3,2,0.0,326.92500042915344,6.49285711986678
Pattern 3,3,0.0,169.65000069141388,12.651612893227608
Pattern 3,4,0.0,88.70000004768372,15.555000019073486
Pattern 3,5,0.10000038146972656,20.349998474121097,19.041129035334436
Pattern 3,6,14.749999999999998,0.3249998092651367,23.085833422342937
Pattern 3,7,70.79999828338623,0.0,26.088709585128292
Pattern 3,8,92.3749942779541,0.0,26.75241950250441
Pattern 3,9,23.499999046325684,1.0499992370605469,23.034999910990397
Pattern 3,10,0.0,80.20000123977661,15.670161278017105
Pattern 3,11,0.0,194.74999976158142,11.536666635672251
Pattern 3,12,0.0,375.4749987721443,5.8879032654147
