line_id,pattern,year,annual_tmean_c,jas_tmean_c,cdd24,hdd18,n_days
万书线（462）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
万利高速（457）,Pattern 1,2021,17.224931526673984,26.186413060063902,282.39999771118164,1402.7000015377998,365
万复线（467）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
万州桥四回（454）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
万永线（463）,Pattern 1,2021,16.896849299375326,25.82880436855814,244.40000343322754,1465.3500026762486,365
万滨一回（459）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
万滨二回（461）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
三铁二回（462）,Pattern 1,2021,17.341643909395557,26.27880455100018,291.9000129699707,1377.7999978661537,365
三高线（461）,Pattern 2,2021,17.341643909395557,26.27880455100018,291.9000129699707,1377.7999978661537,365
五乐线（442）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五俪一回（477）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五俪二回（482）,Pattern 1,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五友线（488）,Pattern 1,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五星二回（481）,Pattern 2,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五桥一回（462）,Pattern 1,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五桥三回（461）,Pattern 1,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五桥二回（479）,Pattern 2,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五桥五回（472）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五桥六回（485）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五桥四回（467）,Pattern 1,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五水一回（441）,Pattern 1,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五水二回（465）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五汇线（463）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五联一回（469）,Pattern 1,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五联三回（484）,Pattern 1,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五联二回（471）,Pattern 1,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五茂一回（478）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五药线（456）,Pattern 1,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五郦三回（483）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五长线（454）,Pattern 2,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五长线（455）,Pattern 2,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五陆线（459）,Pattern 1,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五陈线（458）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
五雄线（476）,Pattern 1,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五龙一回（475）,Pattern 2,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
五龙二回（487）,Pattern 2,2021,16.34109589539162,25.189130347707998,185.19999885559082,1561.7999897897243,365
光国一回（454）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
光国二回（459）,Pattern 1,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
光山线（461）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
光岩一回（453）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
光岩三回（463）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
光岩二回（458）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
光明一回（452）,Pattern 1,2021,17.224931526673984,26.186413060063902,282.39999771118164,1402.7000015377998,365
光明三回（454）,Pattern 1,2021,17.224931526673984,26.186413060063902,282.39999771118164,1402.7000015377998,365
光明二回（453）,Pattern 2,2021,17.224931526673984,26.186413060063902,282.39999771118164,1402.7000015377998,365
光明四回（462）,Pattern 2,2021,17.224931526673984,26.186413060063902,282.39999771118164,1402.7000015377998,365
光高线（459）,Pattern 1,2021,17.224931526673984,26.186413060063902,282.39999771118164,1402.7000015377998,365
凉响线（459）,Pattern 2,2021,16.590137020284182,25.5021739628004,210.850004196167,1519.2499948441982,365
凉甘线（458）,Pattern 2,2021,16.590137020284182,25.5021739628004,210.850004196167,1519.2499948441982,365
凉青线（456）,Pattern 1,2021,17.61246575460042,26.708695660466734,335.7000026702881,1339.999998807907,365
凉风线（454）,Pattern 1,2021,17.61246575460042,26.708695660466734,335.7000026702881,1339.999998807907,365
凉高线（453）,Pattern 1,2021,16.590137020284182,25.5021739628004,210.850004196167,1519.2499948441982,365
北山一回（453）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
北山三回（455）,Pattern 2,2021,18.47273972001794,27.658152082692023,457.79999351501465,1189.800000667572,365
