row,col,x,y,lon,lat,built_up_share_pct,natural_green_share_pct,elevation_m,population_density_people_km2,residential_share_pct,nearest_industrial_distance_km,ndvi_p50
0,51,538500.0,3431500.0,108.40313909599534,31.004112115629166,0.0,96.31187,750.1834716796875,76.30386,0.0,8.803897,0.57370317
0,52,539500.0,3431500.0,108.41361001345486,31.004079001664692,0.02941323,87.33083,660.7515869140625,79.72511,0.0,8.682078,0.5714924
0,53,540500.0,3431500.0,108.42408091338477,31.004045038690837,0.30884007,74.6064,566.1124267578125,112.822296,0.0,8.6636715,0.56364715
0,54,541500.0,3431500.0,108.43455179534138,31.00401022671265,6.359739,91.648926,483.4798889160156,133.16595,0.0,8.6745825,0.64990884
0,55,542500.0,3431500.0,108.44502265888094,31.00397456573533,8.8480215,83.18084,438.1147766113281,160.53217,9.230129,8.781702,0.52719337
0,63,550500.0,3431500.0,108.52878885093962,31.00365871461203,0.0,99.992645,1039.22216796875,66.86935,0.0,11.1666765,0.64675915
1,49,536500.0,3430500.0,108.38216123929539,30.995156381369593,0.0073539107,92.70123,831.630615234375,102.987785,0.0,8.452305,0.56335026
1,50,537500.0,3430500.0,108.39263120505713,30.995124976580218,0.022061808,97.48078,814.6527709960938,127.01882,0.0,8.081544,0.5925401
1,51,538500.0,3430500.0,108.40310115418325,30.995092723072812,0.0,92.44434,703.9219360351562,134.42517,0.0,7.8218446,0.60049784
1,52,539500.0,3430500.0,108.41357108623019,30.995059620852185,0.5368412,75.50073,691.757080078125,118.241325,0.0,7.6844745,0.56303436
1,53,540500.0,3430500.0,108.42404100075439,30.99502566992327,0.7427557,73.36174,681.177978515625,115.48349,0.0,7.6636715,0.59591466
1,54,541500.0,3430500.0,108.4345108973123,30.994990870291122,5.1404996,84.64693,519.9268798828125,129.0707,0.0,7.6760044,0.58448195
1,55,542500.0,3430500.0,108.44498077546037,30.99495522196093,1.1882226,78.34526,554.8390502929688,134.56577,0.012650789,7.7968545,0.6066826
1,56,543500.0,3430500.0,108.45545063475507,30.99491872493799,0.0,92.61653,615.7545776367188,110.566086,0.0,8.28187,0.64696884
1,60,547500.0,3430500.0,108.4973298745294,30.994764250029487,0.0,100.0,777.544677734375,57.74291,0.0,10.319376,0.66340244
1,61,548500.0,3430500.0,108.50779963290425,30.99472350962694,0.2279821,99.20541,898.7086791992188,69.34105,0.0,10.677562,0.6305807
1,62,549500.0,3430500.0,108.51826936976458,30.994681920566176,0.073542945,98.14512,897.009033203125,81.03607,0.0,10.743979,0.6220096
1,63,550500.0,3430500.0,108.52873908466688,30.994639482853387,0.25004724,93.809006,927.04150390625,89.57382,0.0,10.500678,0.6376037
1,64,551500.0,3430500.0,108.53920877716766,30.994596196494896,0.9341162,93.65891,961.4494018554688,89.4175,0.0,10.589617,0.63073295
2,49,536500.0,3429500.0,108.38212528452034,30.98613695358153,0.73690444,87.04,788.8124389648438,135.65408,0.0,7.557388,0.5613515
2,50,537500.0,3429500.0,108.3925942652999,30.986105559931765,5.857688,70.550735,776.4203491210938,156.2948,4.591059,7.140309,0.5192582
2,51,538500.0,3429500.0,108.40306322945032,30.986073317865003,0.13238358,70.00369,761.9616088867188,161.71039,0.0,6.844991,0.56303215
2,52,539500.0,3429500.0,108.41353217652826,30.986040227386077,1.4621041,89.90473,571.1874389648438,148.35538,0.0,6.687586,0.60573936
2,53,540500.0,3429500.0,108.42400110609029,30.986006288499873,3.4713712,82.021935,539.156982421875,120.36836,5.567603e-05,6.6636715,0.61490303
2,54,541500.0,3429500.0,108.43447001769304,30.98597150121148,6.8395605,72.95345,524.0571899414062,113.37615,6.6212287,6.6778517,0.56109536
2,55,542500.0,3429500.0,108.44493891089316,30.985935865526063,0.27212593,91.269485,647.562255859375,93.25594,0.0,6.816421,0.680394
2,60,547500.0,3429500.0,108.49728308533635,30.985744961333978,0.5409852,91.9595,909.5896606445312,55.853977,0.0,9.834554,0.5973446
2,61,548500.0,3429500.0,108.50775185881002,30.985704235382368,2.3241618,90.56918,869.4662475585938,80.90778,0.0,9.984137,0.6132305
2,62,549500.0,3429500.0,108.51822061077758,30.985662661073537,0.86909586,95.455345,871.316650390625,94.53914,0.0,9.94445,0.6270746
2,63,550500.0,3429500.0,108.5286893407957,30.985620238413702,0.6931755,89.1014,858.8547973632812,80.43616,0.0,9.698528,0.6214096
3,48,535500.0,3428500.0,108.37162133351084,30.977148047539817,0.0,90.27312,860.9420776367188,129.53084,0.0,7.2743983,0.6472543
3,49,536500.0,3428500.0,108.38208934593102,30.977117513148276,0.14710547,91.016075,880.3762817382812,138.53976,0.0,6.6922917,0.6414933
3,50,537500.0,3428500.0,108.3925573421718,30.97708613063606,0.09561889,93.15694,725.3295288085938,176.88066,0.0,6.2174487,0.62099737
3,51,538500.0,3428500.0,108.40302532178993,30.977053900007846,1.5446241,93.14838,673.9085693359375,213.8742,0.0,5.875931,0.62329125
3,52,539500.0,3428500.0,108.41349328434222,30.97702082126844,2.4387853,71.52035,585.843505859375,159.58763,0.0,5.6917887,0.5831571
3,53,540500.0,3428500.0,108.42396122938545,30.976986894422755,0.29421517,85.46829,620.9891357421875,110.41114,0.0,5.6636715,0.60467106
3,54,541500.0,3428500.0,108.43442915647645,30.97695211947584,0.0,98.54886,764.243408203125,74.95193,0.0,5.6803484,0.66716075
3,55,542500.0,3428500.0,108.44489706517199,30.976916496432903,0.0,100.0,819.9454345703125,55.563507,0.0,5.8426237,0.6639537
3,57,544500.0,3428500.0,108.46583282560387,30.976842706080237,0.0,100.0,1063.1112060546875,34.839256,0.0,6.6710124,0.71418744
3,58,545500.0,3428500.0,108.47630067645387,30.976804538781508,0.0,99.96323,941.5797729492188,56.873455,0.0,7.193465,0.6724835
3,59,546500.0,3428500.0,108.48676850713565,30.97676552340872,0.3125426,86.381615,864.6629638671875,81.51432,0.0,7.849576,0.6096736
3,60,547500.0,3428500.0,108.49723631720606,30.97672565996768,0.044133555,93.48663,863.2515869140625,64.73415,0.0,8.572382,0.61452913
3,61,548500.0,3428500.0,108.5077041062219,30.97668494846434,0.029422497,98.06248,809.860107421875,72.15322,0.0,9.346424,0.645847
3,62,549500.0,3428500.0,108.51817187374003,30.97664338890473,0.0,99.465706,888.5680541992188,71.74746,0.0,9.259376,0.6394618
3,63,550500.0,3428500.0,108.52863961931727,30.97660098129508,0.0,99.977936,823.6286010742188,79.98959,0.0,9.755596,0.6366007
4,45,532500.0,3427500.0,108.3401852176399,30.968215067336565,0.24424691,92.56786,596.9456176757812,160.29782,0.0,7.7768087,0.6110407
4,46,533500.0,3427500.0,108.35065229181916,30.968187087265587,0.63260615,73.432205,826.4019165039062,133.82738,0.0,7.3683186,0.5996969
4,47,534500.0,3427500.0,108.36111935115449,30.96815825936161,0.007355908,94.59754,863.3651733398438,109.19729,0.0,6.846263,0.66806877
4,48,535500.0,3427500.0,108.37158639520283,30.968128583628932,0.04413559,93.57649,768.4528198242188,139.83476,0.0,6.4038568,0.6538233
4,49,536500.0,3427500.0,108.38205342352111,30.96809806007195,2.2358973,84.018234,715.6502075195312,158.17227,0.0,5.870215,0.64523894
4,50,537500.0,3427500.0,108.3925204356663,30.968066688695245,7.858022,82.457275,672.734375,217.9044,4.420955,5.32253,0.5699587
4,51,538500.0,3427500.0,108.40298743119536,30.968034469503465,2.6609817,87.10058,679.3134155273438,164.7943,1.3898468,4.91927,0.60853404
4,52,539500.0,3427500.0,108.41345440966525,30.968001402501432,0.0,99.570244,780.1674194335938,89.27799,0.0,4.6977777,0.6666663
4,53,540500.0,3427500.0,108.4239213706329,30.96796748769404,0.0,100.0,901.6810302734375,65.99733,0.0,4.6636715,0.6852818
4,54,541500.0,3427500.0,108.4343883136553,30.967932725086346,0.0,100.0,997.0117797851562,50.95009,0.0,4.68391,0.6590118
4,55,542500.0,3427500.0,108.44485523828945,30.967897114683538,0.0,100.0,1064.4483642578125,43.190956,0.0,4.8794374,0.6390575
4,56,543500.0,3427500.0,108.45532214409228,30.96786065649092,0.0,99.9338,1010.1249389648438,39.176422,0.0,5.261065,0.63992554
4,57,544500.0,3427500.0,108.46578903062078,30.967823350513914,0.0,99.580696,923.3148803710938,45.31694,0.0,5.7921243,0.642738
4,58,545500.0,3427500.0,108.47625589743197,30.967785196758065,0.16817091,97.30871,785.8125610351562,78.29555,0.0,6.4357285,0.6223234
4,59,546500.0,3427500.0,108.48672274408283,30.967746195229076,0.2574685,96.939415,794.4380493164062,85.645355,0.0,7.1615987,0.61596674
4,60,547500.0,3427500.0,108.49718957013035,30.96770634593274,0.0,96.58408,826.4116821289062,64.62583,0.0,7.9472256,0.64513564
4,61,548500.0,3427500.0,108.50765637513152,30.967665648875002,0.0,99.80873,653.0736083984375,77.91251,0.0,8.776576,0.64702827
4,62,549500.0,3427500.0,108.51812315864336,30.967624104061912,0.04413803,99.4068,602.107421875,81.56628,0.0,8.474081,0.63136834
