line_id,pattern,built_up_pct,natural_green_pct,elevation_m,population_density,residential_pct,industrial_distance_km,ndvi_p50,jas_cdd24_per_year,ndjf_hdd18_per_year
万书线（462）,Pattern 2,36.73242697789389,41.59717767799871,225.81008975085845,1612.8375244140625,4.67276978170283,0.2127068931598172,0.3440001010894775,433.8606371193604,1005.3848434411344
万利高速（457）,Pattern 1,8.59941371623163,72.95107865681335,351.3919984162407,433.3848876953125,0.16404828420939,2.3475878821358296,0.568000078201294,331.2817168762939,1121.4898598132309
万复线（467）,Pattern 2,37.819158739385,39.18298198108794,219.55725864308843,1527.62060546875,5.68276058490216,0.2079481778254329,0.3280000686645508,433.8606371193604,1005.3848434411344
万州桥四回（454）,Pattern 2,37.084093196419246,40.990987582386815,223.78815023221657,1617.3956298828125,4.96881595604086,0.2462887846537707,0.3440001010894775,433.8606371193604,1005.3848434411344
万永线（463）,Pattern 1,8.88063300409023,77.51918600151225,331.8790051789881,664.528076171875,1.46957845921962,0.3065474728743911,0.6080000400543213,312.92172441635745,1137.0590309563363
万滨一回（459）,Pattern 2,37.57901615125644,39.17780587240934,219.3344631670956,1527.62060546875,5.60480201253862,0.207959980426276,0.3280000686645508,433.8606371193604,1005.3848434411344
万滨二回（461）,Pattern 2,37.7068582320115,38.17820256108554,216.99176056735453,1527.62060546875,5.7904848433408,0.2088690580057384,0.3040000200271606,433.8606371193604,1005.3848434411344
三铁二回（462）,Pattern 1,4.00763996657514,86.07090843977558,475.32320465410527,400.4021606445313,2.38884866003606,0.7343480090910558,0.6560001373291016,324.1273299487549,1116.1753521845208
三高线（461）,Pattern 2,3.2986572600633597,85.61350067891344,453.9713393286195,433.1737976074219,2.27228850061376,0.0,0.6320000886917114,324.1273299487549,1116.1753521845208
五乐线（442）,Pattern 2,53.50044644333477,35.91939768731329,240.3005565862709,3917.5234375,7.60504399996969,0.254596780094686,0.3040000200271606,433.8606371193604,1005.3848434411344
五俪一回（477）,Pattern 2,51.97109485070218,35.358814707085386,254.6140793282071,3650.988037109375,8.56158649875896,0.25459677708959,0.3200000524520874,433.8606371193604,1005.3848434411344
五俪二回（482）,Pattern 1,31.39881459277174,44.65970637326702,296.2878710278198,4098.81396484375,7.425608649572781,0.0244515583298427,0.4000000953674316,266.5105418474121,1190.9277849006066
五友线（488）,Pattern 1,37.37229576241957,43.53421105838417,258.6581025415588,3870.4951171875,8.60428253446174,0.0209760537660168,0.3600000143051147,266.5105418474121,1190.9277849006066
五星二回（481）,Pattern 2,31.39881459277174,44.65970637326702,296.2878710278198,4098.81396484375,7.425608649572781,0.0244515583298427,0.4000000953674316,266.5105418474121,1190.9277849006066
五桥一回（462）,Pattern 1,51.97109485070218,35.358814707085386,254.6140793282071,3650.988037109375,8.56158649875896,0.25459677708959,0.3200000524520874,433.8606371193604,1005.3848434411344
五桥三回（461）,Pattern 1,37.59521831570944,37.60929865814336,209.4290179558941,4189.44091796875,5.67099881310234,0.0325386393803668,0.28000009059906,433.8606371193604,1005.3848434411344
五桥二回（479）,Pattern 2,37.67702670703874,39.69479109463088,295.6030342817469,3660.44287109375,5.94003528038872,0.005732114024807,0.3600000143051147,266.5105418474121,1190.9277849006066
五桥五回（472）,Pattern 2,48.13290920406611,40.080215752714196,237.6601493067899,3922.291259765625,12.585439243115609,0.2545967761542472,0.3200000524520874,433.8606371193604,1005.3848434411344
五桥六回（485）,Pattern 2,51.59257625062048,36.99465004688103,232.39283759037963,4162.9677734375,9.63955324281074,0.2312291253678318,0.3040000200271606,433.8606371193604,1005.3848434411344
五桥四回（467）,Pattern 1,49.42727202651661,37.31442226162029,247.75993047874863,3826.096923828125,7.65862562606803,0.2545967823112983,0.3040000200271606,433.8606371193604,1005.3848434411344
五水一回（441）,Pattern 1,47.139369608853684,40.94504421418108,232.9299971802977,4080.131591796875,9.53712656441677,0.2545967801102116,0.3200000524520874,433.8606371193604,1005.3848434411344
五水二回（465）,Pattern 2,42.00159884274239,38.69656248810385,220.65156921284495,3889.367919921875,6.84999861587062,0.2277461955580799,0.3040000200271606,433.8606371193604,1005.3848434411344
五汇线（463）,Pattern 2,33.059420766224754,52.38851758518681,305.21324814056806,4620.1337890625,8.19113119678093,0.19723219246753,0.440000057220459,433.8606371193604,1005.3848434411344
五联一回（469）,Pattern 1,31.16865840409729,57.582644170010866,264.55768530874684,4086.87060546875,7.25688458828616,0.0104599387439937,0.4720001220703125,433.8606371193604,1005.3848434411344
五联三回（484）,Pattern 1,29.989472482591538,59.30670590175162,281.09554571502997,3597.452880859375,5.89497679537743,0.2545967830518849,0.5040000677108765,433.8606371193604,1005.3848434411344
五联二回（471）,Pattern 1,29.02429892186134,57.59449314042684,263.26175316065166,3764.4638671875,6.2935314895535095,0.0189258602419906,0.4720001220703125,433.8606371193604,1005.3848434411344
五茂一回（478）,Pattern 2,53.759827623799204,35.40766201952058,237.83637033916156,4198.08203125,8.89911412633446,0.2545968022995802,0.3040000200271606,433.8606371193604,1005.3848434411344
五药线（456）,Pattern 1,34.61325797137065,54.2191435768262,263.851525352409,4622.45849609375,5.8147186947161105,0.0,0.4640001058578491,266.5105418474121,1190.9277849006066
五郦三回（483）,Pattern 2,44.41125239505312,36.87685072287058,219.82011697578292,3996.639892578125,6.49045886640449,0.2545967823112983,0.28000009059906,433.8606371193604,1005.3848434411344
五长线（454）,Pattern 2,7.45755550631965,80.10871973495057,433.9680446271616,2178.705322265625,1.87618656434385,0.0,0.6480001211166382,266.5105418474121,1190.9277849006066
五长线（455）,Pattern 2,7.45755550631965,80.10871973495057,433.9680446271616,2178.705322265625,1.87618656434385,0.0,0.6480001211166382,266.5105418474121,1190.9277849006066
五陆线（459）,Pattern 1,16.1399164689204,69.71444292870818,356.6694274321753,4525.14599609375,4.01601733676146,0.0,0.568000078201294,266.5105418474121,1190.9277849006066
五陈线（458）,Pattern 2,40.52609435658144,41.58363771968407,219.89137112903435,4238.2060546875,7.61455043300571,0.2545967800933286,0.3200000524520874,433.8606371193604,1005.3848434411344
五雄线（476）,Pattern 1,37.74076591887604,44.98187174257874,242.96698339869485,4328.32080078125,6.54509594253819,0.0208391543487449,0.3680000305175781,266.5105418474121,1190.9277849006066
五龙一回（475）,Pattern 2,35.73618361090397,43.93546630683096,260.0728174217383,3870.4951171875,8.20642765793906,0.0220242893819352,0.3600000143051147,266.5105418474121,1190.9277849006066
五龙二回（487）,Pattern 2,36.021479827020855,43.943354084493656,260.9232820579531,3870.4951171875,8.5457599089578,0.0205325092195681,0.3600000143051147,266.5105418474121,1190.9277849006066
光国一回（454）,Pattern 2,43.77063050395033,31.92082653097703,213.78307120015663,1808.25634765625,7.60475513286558,1.19537071771378,0.2560000419616699,433.8606371193604,1005.3848434411344
光国二回（459）,Pattern 1,43.79570598162385,31.643774610913177,212.89152857761593,1808.25634765625,7.7518434205165105,1.194969563789076,0.2560000419616699,433.8606371193604,1005.3848434411344
光山线（461）,Pattern 2,43.09564370893161,34.44512046726697,222.7560833430489,1781.9771728515625,6.9446273268299805,1.223439043540102,0.2720000743865967,433.8606371193604,1005.3848434411344
光岩一回（453）,Pattern 2,44.465496850184635,36.05512780285294,234.23966218226292,1803.912353515625,9.30492230299935,1.1951349613875215,0.2880001068115234,433.8606371193604,1005.3848434411344
光岩三回（463）,Pattern 2,43.9593991288182,37.16499531841559,237.42341873349943,1803.912353515625,7.466257488335409,1.222851747641698,0.3040000200271606,433.8606371193604,1005.3848434411344
光岩二回（458）,Pattern 2,44.30419650963381,36.37143145364672,235.72142499438775,1803.912353515625,8.612522428951259,1.2225884777517275,0.2880001068115234,433.8606371193604,1005.3848434411344
光明一回（452）,Pattern 1,9.93346622828591,71.83231073256185,377.9652004509016,293.5364685058594,0.39673568390454,0.3665417860408843,0.5520000457763672,331.2817168762939,1121.4898598132309
光明三回（454）,Pattern 1,6.62194319764742,82.45192307692307,433.5008591178842,182.27734375,0.0,0.0987930862893441,0.6000000238418579,331.2817168762939,1121.4898598132309
光明二回（453）,Pattern 2,12.68681501162404,67.60700959227928,338.3431358120493,446.6195373535156,0.0,1.1671828623207772,0.5520000457763672,331.2817168762939,1121.4898598132309
光明四回（462）,Pattern 2,16.26548907469746,60.92228616932711,337.60153332672417,174.36314392089844,0.0,1.6662406833292531,0.5280001163482666,331.2817168762939,1121.4898598132309
光高线（459）,Pattern 1,11.70601582000514,74.8801216281673,359.9561956642227,588.0261840820312,1.32421191068017,1.0114025513883935,0.5760000944137573,331.2817168762939,1121.4898598132309
凉响线（459）,Pattern 2,3.84631170184217,76.21035849026819,516.7093576151537,620.0020751953125,2.8947049766637303,5.9254414025060145,0.6000000238418579,265.87570219782714,1181.180366269008
凉甘线（458）,Pattern 2,3.4300259650895804,75.45143238056328,436.2986965423029,546.3556518554688,1.33540017989529,5.925412568628484,0.624000072479248,265.87570219782714,1181.180366269008
凉青线（456）,Pattern 1,4.9405209580204,76.45201953327755,363.93575059007514,1002.177978515625,2.41893466137005,5.925430914943051,0.6160000562667847,356.3296038,1081.1318390221368
凉风线（454）,Pattern 1,3.7105874229719698,73.63856059853676,457.51320498461615,504.1407470703125,2.2462871558341,1.5043649006246356,0.6560001373291016,356.3296038,1081.1318390221368
凉高线（453）,Pattern 1,2.63863004400197,84.04556199277154,463.254644407332,415.665771484375,1.01007600479186,2.3449563972895793,0.6560001373291016,265.87570219782714,1181.180366269008
