line_name,date,year,month,day_of_year,weekday,pattern,observed_kwh,observed_mwh_per_day,log1p_kwh,tas_c_mean_7d,pred_target,pred_log1p_kwh,predicted_kwh,predicted_mwh_per_day,base_value,explanation_model,target
龙电一回（478）,2024-09-19,2024,9,263,3,Pattern 1,21433.93305951912,21.43393305951912,9.972777256074979,29.76428522382464,9.976357267627954,9.976357267627954,21510.80789179789,21.51080789179789,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
相柱线（454）,2024-04-11,2024,4,102,3,Pattern 1,100.8735243778559,0.1008735243778559,4.6237320868215805,16.278571673801967,4.624186909791273,4.624186909791273,100.91986933532321,0.10091986933532321,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
钢厂二回（455）,2024-04-18,2024,4,109,3,Pattern 1,11298.23323307177,11.298233233071771,9.33249014691777,17.792856761387416,8.762704923613802,8.762704923613802,6390.376402404662,6.390376402404662,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
五俪二回（482）,2024-09-19,2024,9,263,3,Pattern 1,57408.24211370124,57.40824211370124,10.957960581780366,27.94285774230957,11.269658480290387,11.269658480290387,78405.21532418138,78.40521532418138,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申安二回(478),2024-12-23,2024,12,358,0,Pattern 1,9047.312933901208,9.047312933901209,9.11033360317281,5.442857095173427,9.414428253188923,9.414428253188923,12263.059267606726,12.263059267606726,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
龙腾二回（462）,2024-11-18,2024,11,323,0,Pattern 1,54827.09051066699,54.82709051066699,10.911957942160937,14.750000136239189,8.499356411711334,8.499356411711334,4910.6067702767805,4.910606770276781,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申化线(451),2024-06-09,2024,6,161,6,Pattern 1,40555.41479059836,40.55541479059836,10.61044924162147,18.142857006617955,10.00655652178407,10.00655652178407,22170.357270626282,22.170357270626283,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
太九一回（464）,2024-07-23,2024,7,205,1,Pattern 1,75093.9495429124,75.09394954291241,11.226508585729373,30.821429116385325,11.138708826857721,11.138708826857721,68781.78859522774,68.78178859522774,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
白太线（456）,2024-01-28,2024,1,28,6,Pattern 1,30923.0,30.923,10.339287860440365,0.14285715988704137,10.450138459754843,10.450138459754843,34548.1580460734,34.5481580460734,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
白双线（457）,2024-04-06,2024,4,97,5,Pattern 1,5030.0,5.03,8.523374050491318,15.849999836512975,7.580557744146333,7.580557744146333,1958.7216839287019,1.9587216839287018,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
江盐线(463),2024-01-06,2024,1,6,5,Pattern 1,21000.63393941804,21.00063393941804,9.952355520317735,9.871428421565463,10.171810070574534,10.171810070574534,26154.37702102203,26.15437702102203,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
小周线(452),2024-12-23,2024,12,358,0,Pattern 1,14688.0,14.688,9.594854193331415,6.399999891008649,9.728302227618494,9.728302227618494,16785.029257615955,16.785029257615957,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申纺一回(482),2024-04-14,2024,4,105,6,Pattern 1,68188.25307037131,68.18825307037132,11.130042251801259,13.464286123003278,10.623196057484142,10.623196057484142,41075.68881603624,41.07568881603624,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
油沙一回（472）,2024-01-15,2024,1,15,0,Pattern 1,16300.1820544882,16.3001820544882,9.69899290284576,11.442857469831194,9.475702959903433,9.475702959903433,13038.036698055854,13.038036698055853,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
白大线（459）,2024-02-15,2024,2,46,3,Pattern 1,13179.0,13.179,9.486455808056498,9.942857333592006,8.979377914794666,8.979377914794666,7936.692658113196,7.936692658113196,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
白大线（459）,2024-06-22,2024,6,174,5,Pattern 1,12676.0,12.676,9.447544606938727,23.721428734915598,8.571072690958214,8.571072690958214,5275.787117198923,5.275787117198923,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
宁凉线（457）,2024-07-09,2024,7,191,1,Pattern 1,101.8039443099862,0.10180394430998621,4.632823721059187,25.621428898402623,4.632823944091797,4.632823944091797,101.80396723862077,0.10180396723862077,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
金管二回（465）,2024-05-17,2024,5,138,4,Pattern 1,62569.69623537399,62.56969623537399,11.044052336233905,23.299999509538925,10.761584022146883,10.761584022146883,47172.3324833324,47.1723324833324,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
光国二回（459）,2024-08-01,2024,8,214,3,Pattern 1,33895.38166608472,33.895381666084724,10.431063552158177,30.10714258466448,10.350307200782346,10.350307200782346,31265.64648266849,31.26564648266849,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
平登线（458）,2024-09-11,2024,9,255,2,Pattern 1,29823.26323929869,29.82326323929869,10.303077543871348,29.221428189958846,10.265785346245504,10.265785346245504,28731.533933176976,28.731533933176976,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
龙腾一回（477),2024-12-04,2024,12,339,2,Pattern 1,21740.6856047697,21.740685604769702,9.986986692387557,11.507142884390694,9.171415683093512,9.171415683093512,9617.23142394345,9.617231423943451,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
大高线（477）,2024-09-06,2024,9,250,4,Pattern 1,2221.500080304309,2.221500080304309,7.706388003520481,31.97142791748047,7.859876934187875,7.859876934187875,2590.20146747667,2.5902014674766702,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
罗铁线（322）,2024-08-04,2024,8,217,6,Pattern 1,1908.566517070314,1.9085665170703139,7.5546315408691775,23.792857033865793,7.58615138062553,7.58615138062553,1969.7143705130534,1.9697143705130533,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
龙驹线（453）,2024-10-22,2024,10,296,1,Pattern 1,7646.0,7.646,8.942068693044225,14.47142859867641,9.308954384561742,9.308954384561742,11035.402260973313,11.035402260973314,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
长开线（461）,2024-12-04,2024,12,339,2,Pattern 1,11778.12393909226,11.77812393909226,9.374084085941993,10.007142884390694,8.827654542302431,8.827654542302431,6819.27138319011,6.81927138319011,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
长河线（461）,2024-06-15,2024,6,167,5,Pattern 1,100.9621969505384,0.1009621969505384,4.624602126456421,25.02142878941127,9.260966036406368,9.260966036406368,10518.290451136058,10.518290451136057,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
龙腾三回（476）,2024-07-15,2024,7,197,0,Pattern 1,29985.94830240558,29.985948302405582,10.308517509393237,27.728571483067103,9.196556476221481,9.196556476221481,9862.10667156007,9.86210667156007,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
申园二回(463),2024-02-16,2024,2,47,4,Pattern 1,4929.238761806004,4.929238761806004,8.503142696250636,9.214285782405309,9.938366945593831,9.938366945593831,20708.896268098793,20.708896268098794,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
枇杷坪二回(458),2024-02-24,2024,2,55,5,Pattern 1,24696.87555991159,24.69687555991159,10.114472509196842,7.1142855031149725,10.06258834375252,10.06258834375252,23448.122280067993,23.448122280067995,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
金管三回（463）,2024-06-12,2024,6,164,2,Pattern 1,39986.69070796893,39.98669070796893,10.596326953435996,23.935713904244558,9.692525589353847,9.692525589353847,16195.097373912997,16.195097373912997,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
映流二回(473),2024-12-17,2024,12,352,1,Pattern 1,13805.04196158697,13.805041961586971,9.532861598632044,7.26428576878139,10.507177375280536,10.507177375280536,36576.09029874919,36.57609029874919,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
桥高二回（472）,2024-02-18,2024,2,49,6,Pattern 1,101.1887288948153,0.1011887288948153,4.626821386901247,11.671428271702357,7.196355747695648,7.196355747695648,1333.558424155614,1.333558424155614,9.194655717770509,pattern_specific_rf_static7_temperature_mechanism_no_lags,log1p_kwh
