Daily temperature,3-day temperature,7-day temperature,15-day temperature,7-day Tmax,7-day Tmin,Diurnal temperature range,CDD24,HDD18,7-day CDD24,7-day HDD18,Built-up share,Natural/green share,Elevation,Population density,Residential share,Nearest industrial distance,NDVI p50,pattern
0.013203215,0.015665693,0.121891156,0.0930755,0.013489325,-0.038194038,0.0006625187,0.004363981,-0.00035331107,0.13597485,-0.0063775154,0.11844131,0.124003254,-0.017600067,0.116728954,-0.3910714,0.15459633,0.083779626,Pattern 1
-0.03239867,-0.031049123,-0.061674926,-0.24072263,-0.017972946,-0.057953905,0.04689276,-0.03984585,0.0005340868,-0.08888162,-0.008153523,-0.07625086,0.27527484,0.11320205,0.038358964,-0.21220174,-0.06436318,-0.014671749,Pattern 1
-0.036014676,-0.028584616,-0.022697981,-0.08155383,-0.04356622,0.010831848,-0.017820768,-0.0055846325,0.0047611934,0.004035127,0.024066787,-0.02879007,0.26774132,0.05263889,0.08608086,0.2763146,0.18760063,0.075927004,Pattern 1
-0.019761186,-0.01970485,-0.03253753,0.099996276,0.06920859,-0.073117666,0.029691385,-0.0046840063,-0.011648614,-0.003564936,-0.049819104,-0.3982168,-0.1212591,0.61757475,-1.0666147,0.175856,0.010212573,-0.07640771,Pattern 1
0.022656338,0.12646176,0.02875459,0.01321268,0.048117504,-0.08355155,0.028225131,0.024625514,-4.0233037e-05,0.08802767,-0.02095908,0.17460863,-0.0051712096,0.10678702,0.30095866,0.006303474,0.21450803,0.10036135,Pattern 1
0.029228875,0.02997532,-0.03715512,0.0374877,0.10493373,-0.05004295,-0.006032359,0.0311772,-0.0007087816,-0.013640828,0.0022864237,-0.017101813,0.22339725,0.062177166,0.26326716,0.29560208,0.1384753,0.09849983,Pattern 1
-0.001179053,0.0015052395,-0.057657406,-0.34738612,-0.12280728,-0.09458761,-0.029209023,-0.00040817386,0.016377963,-0.0015245131,0.0014659276,-0.1180023,-0.13727355,-0.3273571,0.11491439,0.19940308,-0.15534027,-0.037440185,Pattern 1
0.008037487,0.014244375,0.0045348923,0.02884302,-0.00074685685,-0.014406568,0.008844668,0.00079489266,-0.008574709,0.0030968226,0.06397721,-0.080237135,0.087258436,-0.014460403,0.0019853339,0.09216446,0.061795294,0.018443942,Pattern 1
-0.00021545289,-0.0057396474,-0.017927028,0.048396014,-0.0067318208,-0.050543338,0.0016919943,0.0,-0.000841228,0.0013096149,-0.017586414,-0.53801274,-0.3299407,-0.090188235,-0.38668218,-0.41641673,-0.0421236,-0.16426374,Pattern 1
-0.01221498,-0.070251025,-0.033850335,-0.068180464,-0.010857465,0.014347578,-0.13199985,-0.013233937,-0.009402278,-0.020544026,-0.018597843,-0.23213093,0.0739555,0.047074594,0.37399742,0.038720604,0.16791417,0.060102813,Pattern 1
0.021371404,0.007485881,0.007413944,-0.14749084,-0.0069674454,-0.013175063,0.0060481895,8.111038e-05,0.016576532,0.0006187785,-0.0017037608,-0.15827584,-0.08383322,0.07127766,0.36018863,0.023884716,-0.07218155,-0.026249742,Pattern 1
0.07854996,0.10520117,0.06785085,0.15738675,-0.0063411063,0.069641136,0.035740532,-0.0016238937,0.07224979,-0.004172153,0.090471365,0.14827135,-0.0633541,0.099026494,0.31160834,0.33449787,-0.12216296,0.07416168,Pattern 1
0.018583223,-0.08460975,0.028018763,0.11281342,-0.7405298,-0.010030897,0.037051626,0.0,0.017183464,0.0,0.027608398,-0.108613156,-0.15245175,-0.07011272,-1.0488412,-0.3649968,0.024422547,0.05046146,Pattern 1
0.006521388,0.008131589,0.020342376,0.12185165,0.03435522,0.054944094,-0.010116342,2.8046483e-05,-0.007986073,0.003252969,0.08332953,-0.16154698,-0.08644869,0.067220725,0.35638708,0.021356488,-0.075756736,-0.027736139,Pattern 1
0.03531913,0.038656726,0.077093095,0.173454,0.04272754,0.087730885,-0.014585253,0.0024344001,0.038665745,-0.0017270625,0.07622417,-0.076538235,0.13689758,0.003575965,0.20068344,0.13754363,-0.07730797,0.022546057,Pattern 1
-0.008812655,-0.015790166,0.008648712,-0.011681846,-0.0071480162,0.00072676304,0.015026996,-0.00033536207,-0.005615774,-0.0003477497,-0.006015358,-0.43031392,-0.16188382,0.6985384,-0.8769651,0.25926438,-0.05945842,0.050471295,Pattern 1
0.0082686795,0.024414038,0.0654417,-2.0499544,0.04757281,0.07996631,0.024381123,0.014525816,0.0022415149,0.047173664,0.0006570647,-0.17517656,0.00018263928,-0.096819565,-1.1829743,0.08442184,-0.11912101,-0.17575766,Pattern 1
-0.015569369,-0.010872242,-0.047824793,-0.2196567,-0.057407856,-0.21223086,-0.03621492,-0.01687213,-0.00067769364,-0.027288215,-0.024055345,0.6742692,0.3450114,0.64333004,-0.4494369,0.23661879,0.19155931,0.19222821,Pattern 1
0.0041163387,0.010344517,0.06715331,0.113987185,0.17030698,0.1081231,0.04979766,-0.0019318552,4.855464e-05,0.09015866,0.008768043,0.42240173,0.076813616,0.14906202,0.34093735,0.42378148,-0.011210492,0.14941806,Pattern 1
0.011761114,0.00010863727,-0.016648524,0.16999348,-0.031141335,0.08058039,-0.017398726,-0.00063352275,0.015399062,-0.0028350323,-0.002828169,-0.22735293,-0.21190558,-1.423226,-1.2597874,0.120297484,-0.12808983,-0.2012399,Pattern 1
-0.010801304,-0.019672247,0.0041652564,0.00034236757,-0.010165326,0.020172602,-0.1112342,-0.005363697,0.0008084495,-0.0061403266,-0.0034582778,0.1659698,0.015145115,0.14080009,0.30490577,0.30019212,0.0055947136,0.023764888,Pattern 1
0.0052256472,-0.0013305699,-0.010448343,-0.003355275,0.021683592,-0.05803219,0.0002611357,-0.00077699416,0.004101998,-0.010057923,-0.006908875,-0.19770014,-0.00049945706,0.07965064,0.2942028,0.044214595,-0.16429059,-0.2669414,Pattern 1
0.018472234,-0.0034147352,0.013204031,-0.09623601,0.028147047,-0.012949676,0.03003022,7.325984e-05,0.017806765,0.0007873938,0.008608251,-0.16061527,-0.086760394,0.06973106,0.35862213,0.022906138,-0.074280985,-0.02765829,Pattern 1
