Daily temperature,3-day temperature,7-day temperature,15-day temperature,7-day Tmax,7-day Tmin,Diurnal temperature range,CDD24,HDD18,7-day CDD24,7-day HDD18,Built-up share,Natural/green share,Elevation,Population density,Residential share,Nearest industrial distance,NDVI p50
0.43459151188291606,0.4420786920936422,0.5541642883654916,0.5300703722811343,0.5303002746258041,0.5742291080294267,0.4011716203323852,0.0,0.18293065256991392,0.004898407575503321,0.06707832705509773,0.18012208938932897,0.6178799756547061,0.2835866619619532,0.2434502930429126,0.07345370349179453,0.0016773345887354462,0.6390894756353966
0.4396242116078807,0.434685685038394,0.4802259123033606,0.5579385170178381,0.42435843645438015,0.5413552828840547,0.318390152821703,0.0,0.1734687450828753,0.0,0.11465161380276101,0.009775682770169693,0.8295825307997763,1.0,0.019706888075801766,0.0,0.5410478382695637,0.9861187941635665
0.5973158962851002,0.5848204849036116,0.5738475477121844,0.5221945968689585,0.5430314877456546,0.6016239718966868,0.5476311304315744,0.0,0.0,0.0,0.0019029387290140061,0.9120161114904686,0.17791625767137864,0.03971488734435715,0.5906893043392779,0.030114455813371417,0.08035843833833442,0.1671293045793257
0.4262036576765586,0.3510879161295725,0.38912779957434956,0.3227556104582377,0.4011694575446419,0.3715071619155776,1.0,0.0,0.19870053848653893,0.0,0.26641038763914576,0.7859972319835851,0.31397762377804156,0.14803739313806147,0.15756750180539073,0.4547791933628706,0.00934252387834117,0.44475280077099494
0.22321757948328366,0.20209051072615658,0.18270599656792946,0.14379365282997672,0.2074732189142278,0.15673146336876911,0.6431482246783919,0.0,0.5803317897003328,0.0,0.6555598922901884,0.06003511889722278,0.9290269855858183,0.5233485639527518,0.010167523287274887,0.08183104964696832,0.039059133826487374,0.7917823261448315
0.5956382870472793,0.5842517795375014,0.5793992263726722,0.5154093066815385,0.6030500341479873,0.5413552881092092,0.5412633018814782,0.0,0.0,0.0,0.02378664337383164,0.5872841312158965,0.353083184857009,0.1647145489048476,0.7258451593205236,0.7320740905886106,0.0012517339634865773,0.4169905959437945
0.8724375398513236,0.9539018068915354,0.9844199717615553,0.9873502748831744,0.9736191303865557,0.9741940598796314,0.42027504525456005,0.5218814315444577,0.0,0.9395145505584066,0.0,0.8697855020583539,0.38113154992309456,0.15328341370209667,0.19648123689800764,0.9220746836553041,0.10575899114325216,0.38922818427092776
0.8422412135130377,0.7992174834138382,0.8085324615525986,0.7787026905956274,0.7571885854011238,0.8531087616908447,0.5858379802759242,0.40870217563601446,0.0,0.2566765644307508,0.0,0.017138579799286294,0.9397373567940239,0.5128318155200612,0.036513012592488805,0.0,0.04566323012994963,0.9167129718270659
0.053782918115438505,0.05423050520801599,0.015398360708890897,0.0,0.03196442721072281,0.004963947414070764,0.8023433159676314,0.0,0.8988834972476265,0.0,0.9709707775291712,0.028511323614427285,0.9639624922407753,0.7230196386416028,0.0,0.0973489822905624,0.05846613074433813,0.8195447378176983
0.5352457623592053,0.519420842985545,0.5190877206849646,0.4705779457205047,0.5148409611342768,0.516699904881005,0.566734616081863,0.0,0.0,0.0,0.022835174009324635,0.07771145367131846,0.9873946802787377,0.35904428592472937,0.10326168397472268,0.1724039752411283,0.3864068661516437,0.8473071494905652
0.9647039361212554,0.9294480618838614,0.913257463908763,0.8940525775606672,0.8949584476997268,0.9144732492292847,0.7195618940030346,0.867706349390316,0.0,0.6632444305694103,0.0,0.051927479779633155,0.8048300389736697,0.449789602711107,0.08888932323976129,0.2853824667201316,0.30333756859635014,0.7640199144719645
0.2467035648616596,0.2043652833793421,0.17740666343696754,0.11083653987494396,0.17291708357481314,0.18686581048766254,0.19740189619478504,0.0,0.5361761211652509,0.0,0.6655502752480902,0.987012138319008,0.21991165689314335,0.11081708820347966,0.6438501140961845,0.8440675971302762,0.01303342014354597,0.27817874442512674
0.7818486888249638,0.749741244644597,0.726266567499736,0.6468742480197169,0.750368295445919,0.6827127492971955,0.980641771450932,0.18234414353453393,0.0,0.039187260604026566,0.0,0.7851369007179783,0.278971382648639,0.09567932028373163,0.7251148770846618,0.48931402014827347,0.036135191903938296,0.2504163327522597
0.8640496216507173,0.8577927694080385,0.8766667845456213,0.8653362617285516,0.8017478096394821,0.9473470900501206,0.5412633018814782,0.49044256279167664,0.0,0.5211905361360463,0.0,0.9375845972206834,0.2479123320415303,0.10195249481783751,0.6759118152985409,0.7550467113136851,0.013033420410857751,0.2504163327522597
0.25676896431158897,0.21403304681735705,0.2480644826372994,0.29004082492111566,0.2393012365370712,0.26028402955844354,0.6940906405307634,0.0,0.5172523061911732,0.0,0.5323450859654595,0.042755059822243674,0.8671925385693838,0.4466472548232187,0.21045603702605248,0.11063878844306467,0.18808796717043508,0.8056635319812648
0.4077503720231473,0.40397628947296393,0.4996568068677977,0.5289798639458275,0.4607333205516953,0.5397115850953428,0.23560874603913481,0.0,0.23339429953458224,0.0,0.13701108035148524,0.16924373584822308,0.7549473983068756,0.24710380425257542,0.16728206146769503,0.3072118868485001,0.057570903449573635,0.7084952979718973
0.14940445286820084,0.15147689376553194,0.21273557183383784,0.22570176795981595,0.15836713687384477,0.281104125784052,0.18466629982270635,0.0,0.7191068038138353,0.0,0.598947682875246,0.872266187691937,0.029665915641680207,0.012222659253952895,0.28609621424292797,0.6714881811362104,0.1517901729811808,0.028317453060657652
0.18631100817646112,0.1577325117824511,0.1539381706089713,0.15797005897164088,0.19110452345535894,0.11399548708749166,0.5285277358734564,0.0,0.6497193117964192,0.0,0.7097934328308055,0.3195669886304732,0.5919007504482623,0.17935883244278128,0.20920377978448848,0.14778226435641958,0.03421079316601948,0.6807328862990304
0.6946149922799967,0.6405523091489347,0.5228729565728593,0.544125599403103,0.532119021215593,0.5040982740857601,0.789607765141638,0.0,0.0,0.0,0.11322442790376924,0.10585916029147911,0.8941976741125942,0.3421745623014747,0.008743764602167817,0.0,0.005057455226283227,0.7640199144719645
0.4748531736768823,0.45345251739525944,0.45801914952958483,0.48560248713622634,0.4352709029844418,0.47999079012045986,0.6558838514145275,0.0,0.10723527235892273,0.0,0.16127346748145469,0.0024866131031062457,1.0,0.40138431643384226,0.0,0.02789539576427962,0.34294462308531126,0.9028317659906324
