line_id,key,cad_lyr,geom_match_score,geom_match_type,line_mean_all_kwh,normal_mean_kwh,seasonality_ratio,summer_winter_ratio,peak_month,trough_month,peak_doy,trough_doy,lag1,active,y2021,y2022,y2023,y2024,y2025,mean_share,share_cv,log10_mean_share,cluster_id,cluster_display,pc1,pc2,pc3,pattern,load_kwh_2021,co2_proxy_t_2021,load_kwh_2022,co2_proxy_t_2022,load_kwh_2023,co2_proxy_t_2023,load_kwh_2024,co2_proxy_t_2024,load_kwh_2025,co2_proxy_t_2025,co2_proxy_t_2021_2025,mean_annual_co2_proxy_t,co2_proxy_change_2025_vs_2021_pct,annual_tmean_c,year,pattern_label,annual_mean_kwh_per_day,log10_annual_mean_kwh_per_day,temperature_tertile,load_tertile,bivariate_color
万书线（462）,万书线,万书线,1.0,exact_clean,46297.23810745727,47509.0703125,0.7618864637854514,1.5379749536514282,7,4,312,318,0.9328107576907645,1,47229.6299574248,47495.23915599998,41606.42221158937,50429.98544438617,44713.59117244239,0.005478746491409721,0.47387073810786745,-2.261239532743467,1.0,2.0,-0.80935144,-0.083200514,-0.15903786,2,17238814.93446005,11182.097001224174,17335762.291939992,11049.475599469388,15186344.107230121,9644.997042716226,18457374.672645338,10990.042253788239,16320460.777941473,9223.22691734309,52089.838814541115,10417.967762908223,-17.517913533272278,18.47273972001794,2021,Pattern 2,47229.6299574248,4.674214542907252,1,2,#627F8C
万利高速（457）,万利高速,万利高速,1.0,exact_clean,3701.373772617364,3577.934326171875,0.25986602452000207,0.966926634311676,2,6,46,152,0.8799324446244015,1,4464.703054002145,4208.824805098539,3340.4482482969956,3343.859047180901,3150.0132009066933,0.00042965073187486286,0.4805919198694498,-3.365874810379905,0.0,1.0,2.5459442,-1.8010677,-1.526416,1,1629616.614710783,1057.0640226594726,1536221.0538609668,979.1572337098735,1219263.6106284035,774.3663541249337,1223852.4112682098,728.7162963740469,1149754.8183309431,649.7641048902067,4189.068011758533,837.8136023517067,-38.531243996417366,17.224931526673984,2021,Pattern 1,4464.703054002145,3.649792579395493,0,0,#E8E8E8
万复线（467）,万复线,万复线,1.0,exact_clean,33749.6723366451,34898.2421875,1.608937312163153,2.55818510055542,8,4,240,103,0.9593755183601597,1,33387.225339658115,34883.24457061916,29314.801621406586,34951.63467126315,36208.162432786376,0.0038607888021595345,0.6535840425678828,-2.4132114810912584,1.0,2.0,-3.8308737,2.8491542,2.6228614,2,12186337.248975212,7904.76640800137,12732384.268275993,8115.372541811642,10699902.591813404,6795.613751848205,12792298.289682312,7616.895751432583,13215979.287967026,7468.782748620466,37901.431201714266,7580.2862403428535,-5.515452789845787,18.47273972001794,2021,Pattern 2,33387.225339658115,4.523580328316243,1,2,#627F8C
万州桥四回（454）,万州桥四回,万桥四回,1.0,exact_clean,3657.9188417917644,3749.15234375,0.8544866717268382,1.2241345643997192,8,4,219,101,0.9597002732392282,1,2852.7482424813525,3928.519997554103,4057.486873410888,3732.380026941965,3718.255065323527,0.00040317492830021725,0.4588629575321337,-3.393430630055196,1.0,2.0,-0.35185823,0.21737988,1.3242949,2,1041253.1085056936,675.4172665814721,1433909.7991072477,913.9460423059675,1480982.7087949743,940.5867367275602,1366051.0898607592,813.385406357552,1357163.0988430874,766.9773172944182,4110.31276926697,822.0625538533939,13.556071963686133,18.47273972001794,2021,Pattern 2,2852.7482424813525,3.455263446481639,1,0,#E4ACAC
万永线（463）,万永线,万永线,1.0,exact_clean,50085.202569868095,50755.13671875,0.5627354912891744,1.237014889717102,8,10,236,329,0.8971172149055077,1,50189.102526512936,50767.5663566252,47696.631744905855,47202.79080301911,54577.81843681671,0.0060360598341143434,0.55189212069112,-2.219174519774005,0.0,1.0,1.644473,-2.6577296,-1.4477249,1,18319022.42217722,11882.782341546288,18530161.720168196,11810.762418934124,17409270.586890638,11056.799591842831,17276221.433904994,10286.750250879855,19920903.7294381,11257.955151823147,56295.049755026244,11259.00995100525,-5.258256625121627,16.896849299375326,2021,Pattern 1,50189.102526512936,4.700609429767175,0,2,#64ACBE
万滨一回（459）,万滨一回,万滨一回,1.0,exact_clean,45207.08761861901,44562.4375,0.9979243045922925,1.8151743412017822,8,10,231,290,0.950285251379606,1,37318.27384042518,46877.91526693331,43432.53961029913,50972.309991972164,47418.604253675214,0.004991824650135718,0.5045194121034539,-2.301653686261276,1.0,2.0,-1.5908434,1.0832429,0.99495876,2,13621169.95175519,8835.482267763973,17110439.07243066,10905.85898924857,15852876.957759183,10068.318635249174,18655865.457061812,11108.22927368753,17307790.552591454,9781.199310264376,50699.08847621363,10139.817695242726,10.703626738642512,18.47273972001794,2021,Pattern 2,37318.27384042518,4.571921547214982,1,2,#627F8C
万滨二回（461）,万滨二回,万滨二回,1.0,exact_clean,34511.25629186197,33723.18359375,1.270192635699546,2.0643720626831055,8,6,221,166,0.9664869915756717,1,15201.281056322336,41475.62813178651,44986.27618002691,32914.68719560485,37982.783057476816,0.003680502309375153,0.6708154518038129,-2.4339749227579515,1.0,2.0,-2.9904444,2.370518,2.7677636,2,5548467.585557653,3599.0584611376053,15138604.268102076,9649.050076568506,16419990.80570982,10428.498237907012,12046775.513591375,7172.990431433645,13863715.815979037,7834.839875425453,38684.43708247222,7736.887416494445,117.69137567576449,18.47273972001794,2021,Pattern 2,15201.281056322336,4.18188018875058,1,1,#AD9EA5
三铁二回（462）,三铁二回,三铁二回,1.0,exact_clean,17489.60507092507,16126.064453125,0.7461614694766394,2.9217731952667236,7,2,366,38,0.9889297187210795,1,19307.406754712363,99.79200029398517,7200.1984198632435,25198.410198488964,35621.097967218666,0.002514767526182675,0.9493174730458162,-2.599329493099859,0.0,1.0,0.33065057,-1.4163016,-3.79158,1,7047203.465470012,4571.225634583741,36424.08010730459,23.21599578957664,2628072.423250084,1669.1147369842108,9222618.132646961,5491.4073515861,13001700.758034812,7347.686933252882,19102.650652196513,3820.5301304393024,60.73778720664633,17.341643909395557,2021,Pattern 1,19307.406754712363,4.285723946086524,1,1,#AD9EA5
三高线（461）,三高线,三高线,1.0,exact_clean,24437.972651344673,25069.671875,0.8132955757984467,1.419140338897705,8,4,239,100,0.9535223672605021,1,16556.354106177452,24056.024967145146,26282.983857113744,30470.664587036248,24807.307816139306,0.0028823012370481223,0.6654830688867969,-2.540109981700099,1.0,2.0,-1.1902647,0.29677543,0.6926702,2,6043069.2487547705,3919.8858379534704,8780449.113007978,5596.4864188102065,9593289.107846517,6092.792605104333,11152263.238855267,6640.372555368549,9054667.352890847,5117.089081801293,27366.626499037848,5473.3252998075695,30.541788545374303,17.341643909395557,2021,Pattern 2,16556.354106177452,4.218964706488947,1,1,#AD9EA5
五乐线（442）,五乐线,五乐线,1.0,exact_clean,29421.456778632684,29953.138671875,0.9996059274099184,2.0767836570739746,8,11,207,303,0.9588171698224811,1,16759.59313895313,33189.148250370345,33001.3754675574,30710.371837425097,33443.263924723775,0.00321077886701635,0.5869576058251651,-2.4932543638107254,1.0,2.0,-2.9357774,0.6475125,-0.14443284,2,6117251.495717892,3968.00475357871,12114039.111385176,7721.251440699649,12045502.045658452,7650.217247026296,11239996.092497585,6692.611174656235,12206791.332524179,6898.457581828641,32930.54219778953,6586.108439557906,73.85204933555033,18.47273972001794,2021,Pattern 2,16759.59313895313,4.224263471355575,1,1,#AD9EA5
