scenario,period,line_name,pattern,model_count,baseline_gwh_mean,annual_counterfactual_gwh_mean,annual_change_gwh_mean,annual_change_gwh_p10,annual_change_gwh_p90,annual_change_pct_mean,annual_change_pct_p10,annual_change_pct_p90
ssp126,2030s,万书线（462）,Pattern 2,31,17.305860577428835,18.547212233615088,1.2413516561862519,0.9826130268120581,1.5945288467371879,7.176153367522706,5.667896336860692,9.329799161626134
ssp126,2030s,万利高速（457）,Pattern 1,31,1.3056210373241364,1.3203808533142019,0.014759815990065334,0.011415689947358672,0.018500501188355934,1.130935527944506,0.8728224684206897,1.4145139880903057
ssp126,2030s,万复线（467）,Pattern 2,31,12.712854121886481,13.816564939886268,1.103710817999787,0.8482067162741991,1.453986715868854,8.685622881948085,6.757621437303915,11.417418612523123
ssp126,2030s,万州桥四回（454）,Pattern 2,31,1.3659397900360422,1.456576540313253,0.09063675027721098,0.07172267236329338,0.11725704948908774,6.6385476279324624,5.2896525401119545,8.689344717589773
ssp126,2030s,万永线（463）,Pattern 1,31,18.50025668991869,18.726972490958467,0.22671580103977676,0.17304667525842266,0.28132492074430054,1.2259463190038136,0.9339496452097682,1.5183378098737392
ssp126,2030s,万滨一回（459）,Pattern 2,31,16.229679400027845,17.351271588813297,1.1215921887854514,0.8849459125618413,1.4912273414494344,6.913794330873941,5.4406938315609885,9.300081432320274
ssp126,2030s,万滨二回（461）,Pattern 2,31,12.285166045728456,13.185675295973347,0.900509250244891,0.6527035415872782,1.1828429389166852,7.333848756937097,5.300740735889368,9.60951787543641
ssp126,2030s,三铁二回（462）,Pattern 1,31,5.864868108708659,5.948506521268063,0.08363841255940334,0.06547458443179345,0.10214280079284073,1.4266283629943668,1.1164919178704307,1.738375589484475
ssp126,2030s,三高线（461）,Pattern 2,31,9.143047982049213,9.759216630688357,0.6161686486391443,0.44537942438189404,0.8238589258628586,6.742460905387478,4.859455623502395,9.12289410607074
ssp126,2030s,五乐线（442）,Pattern 2,31,10.930871649679906,11.794186467579012,0.8633148178991042,0.6796501919041669,1.1003757077246645,7.901170983491752,6.243904297602455,10.185092298287412
ssp126,2030s,五俪一回（477）,Pattern 2,31,13.929835989404848,14.940727418295884,1.0108914288910353,0.7824524633230029,1.334126102475438,7.260381440696401,5.648364230062205,9.559536286734703
ssp126,2030s,五俪二回（482）,Pattern 1,31,19.785049874186615,20.076185644085097,0.2911357698984811,0.20871213273774716,0.3668958248723485,1.471987395159915,1.0682815398099827,1.8780355344115065
ssp126,2030s,五友线（488）,Pattern 1,31,2.3452695021130854,2.364732631997691,0.01946312988460507,0.013243786067921714,0.026507320812749063,0.8303256931357929,0.5630234868759818,1.127132789554183
ssp126,2030s,五星二回（481）,Pattern 2,31,7.073264843186,7.541191926446028,0.46792708326002885,0.30374623380272425,0.6295417109807999,6.618936231712985,4.285300148308033,8.884928580413984
ssp126,2030s,五桥一回（462）,Pattern 1,31,14.297315967188029,14.468410142472486,0.1710941752844569,0.13132118490556183,0.21415121982123556,1.197079209912757,0.9162873867573473,1.4951437062922586
ssp126,2030s,五桥三回（461）,Pattern 1,31,14.156325737195809,14.343206137058344,0.18688039986253405,0.13912146671821615,0.23187519966166636,1.3205323485764733,0.9805343035315499,1.6351111099062454
ssp126,2030s,五桥二回（479）,Pattern 2,31,12.454193497212163,13.238719238724988,0.784525741512825,0.5149299412633841,1.0715339325287934,6.302563647464171,4.125833050212988,8.588489529283809
ssp126,2030s,五桥五回（472）,Pattern 2,31,1.063479053646653,1.1423569569799508,0.07887790333329787,0.06015423622078212,0.10529264010397454,7.420214421991412,5.643910646423079,9.937597750503262
ssp126,2030s,五桥六回（485）,Pattern 2,31,13.406828689819795,14.361429510561207,0.9546008207414127,0.7486451579187855,1.2499814106594278,7.123227295073158,5.650223631187029,9.433917895064031
ssp126,2030s,五桥四回（467）,Pattern 1,31,14.29319948967614,14.46177563388707,0.16857614421093267,0.12408261585821674,0.2090639769788086,1.1798185274078974,0.8662038448244074,1.4601212937316228
ssp126,2030s,五水一回（441）,Pattern 1,31,0.07229638362238665,0.07321072682724263,0.0009143432048559565,0.0006807449919070754,0.001176321080677664,1.2650902441900715,0.9394865695616677,1.6241272324825744
ssp126,2030s,五水二回（465）,Pattern 2,31,9.630336659513942,10.296899686224991,0.6665630267110491,0.5131955696647312,0.8265255695062761,6.92429377732827,5.319556724874661,8.69336288254704
ssp126,2030s,五汇线（463）,Pattern 2,31,1.3012356520340196,1.3949068738232098,0.09367122178918989,0.06635479881725867,0.12513024970878805,7.201409793735807,5.090133954082296,9.60257084200644
ssp126,2030s,五联一回（469）,Pattern 1,31,11.022784811036708,11.15713161465441,0.1343468036177041,0.10295449868109663,0.16880079775418605,1.2190769031251154,0.9323657617715814,1.529366234037385
ssp126,2030s,五联三回（484）,Pattern 1,31,31.793058107365283,32.22013444403034,0.42707633666506106,0.3266481333107023,0.5356451054475835,1.3436327363916034,1.0252785639489785,1.6820989531824702
ssp126,2030s,五联二回（471）,Pattern 1,31,20.319313125802974,20.578874731616402,0.2595616058134242,0.19522675510425289,0.3243006682300666,1.2777016645505481,0.9588651214455668,1.5937301153129382
ssp126,2030s,五茂一回（478）,Pattern 2,31,7.718986689111174,8.28787363305452,0.5688869439433458,0.43786478570164516,0.7600696406416227,7.373317236495745,5.660085257135354,9.828651054321522
ssp126,2030s,五药线（456）,Pattern 1,31,7.912350862159825,8.031522933630141,0.11917207147031561,0.08348972520261265,0.14989968663586004,1.5066238157170047,1.0677680423869624,1.917347380017724
ssp126,2030s,五郦三回（483）,Pattern 2,31,1.5522451195993776,1.662513924814459,0.11026880521508123,0.0853813026298123,0.14555553887557174,7.107020101061368,5.567337752019151,9.452855851685372
ssp126,2030s,五长线（454）,Pattern 2,31,1.0939640247311828,1.165113270690313,0.07114924595913012,0.04826138985620583,0.09237401196773164,6.507800906100125,4.400828324300298,8.426224055069095
ssp126,2030s,五长线（455）,Pattern 2,31,7.416421834781312,7.88211730276176,0.4656954679804465,0.30605264130283194,0.6064012573073175,6.282877594922104,4.115638046152846,8.16150149012845
ssp126,2030s,五陆线（459）,Pattern 1,31,13.345983806040849,13.519526725364582,0.1735429193237332,0.12582731794278326,0.21954363569538576,1.3008505605144192,0.9543195483880549,1.6651172693458303
