scenario,year,pattern,model_count,baseline_gwh_mean,annual_counterfactual_gwh_mean,annual_change_gwh_mean,annual_change_gwh_p10,annual_change_gwh_p90,annual_change_pct_mean,annual_change_pct_p10,annual_change_pct_p90
ssp126,2026,Pattern 1,31,1033.860319594812,1043.2370266494747,9.376707054662617,3.907359301538869,15.364271793297442,0.9077637697342953,0.37720619200047334,1.5041065241804665
ssp126,2026,Pattern 2,31,1279.5939635508134,1346.9723597824477,67.37839623163437,26.0542355188252,117.4820654996879,5.271437037392582,2.0320220271522467,9.295462577135646
ssp126,2026,Pattern 3,31,135.04932050811178,135.91076324472556,0.8614427366138139,0.204229318694428,1.5918757758251563,0.639427952690568,0.15074935565528302,1.175023493311214
ssp126,2027,Pattern 1,31,1033.860319594812,1043.17546312959,9.315143534777972,4.123816644414738,13.922300101095871,0.9010480460313691,0.39810241467561636,1.3440222410449696
ssp126,2027,Pattern 2,31,1279.5939635508134,1345.7757668048318,66.18180325401842,32.98020897904394,99.5291188467654,5.171960840591442,2.572192573337243,7.762475383073548
ssp126,2027,Pattern 3,31,135.04932050811178,135.82768005151135,0.7783595433996284,0.31953039264645894,1.3049416462027534,0.5761408394473749,0.235857422977573,0.969553210599163
ssp126,2028,Pattern 1,31,1035.3244698881772,1046.5423099399281,11.217840051750766,5.91483402646505,18.271599295303425,1.084254191247036,0.5710025229978236,1.7589947504970733
ssp126,2028,Pattern 2,31,1281.2889590903528,1365.7397791037015,84.45082001334863,31.270610453467555,141.27332840374015,6.596575265997918,2.4328626601769745,11.018189919949616
ssp126,2028,Pattern 3,31,135.10799411540083,136.43850811348392,1.330513998083121,0.2922046716248976,3.328908303215651,0.9866936782314878,0.21550449755603765,2.4571926545773293
ssp126,2029,Pattern 1,31,1033.860319594812,1044.1599141494175,10.299594554605607,5.158196243007252,15.372084470082449,0.9967783702024924,0.4979587010720054,1.4839806116078862
ssp126,2029,Pattern 2,31,1279.5939635508134,1352.1151480806673,72.52118452985398,32.672567638315535,107.82535208099684,5.671310407169523,2.585131853863278,8.409515234316551
ssp126,2029,Pattern 3,31,135.04932050811178,135.91832068180625,0.8690001736945198,0.29673166078633906,1.424487850031132,0.6442736099589201,0.21902881991684892,1.0514681579693843
ssp126,2030,Pattern 1,31,1033.7840806566771,1045.025567158176,11.241486501499049,6.407320342668478,17.0163448034309,1.0878047070560957,0.6185458568996415,1.6604880663710395
ssp126,2030,Pattern 2,31,1279.481391623599,1363.3491094417786,83.86771781817995,41.760948667945435,128.1449550136356,6.5569469018635935,3.3042263419313196,9.99428177687259
ssp126,2030,Pattern 3,31,135.04487466620643,136.29188639231634,1.2470117261099793,0.34382228403697207,1.8106519753489114,0.9236745149075819,0.260003421364631,1.3692414085665279
ssp126,2031,Pattern 1,31,1033.860319594812,1044.1040458621308,10.243726267318705,5.921290297223507,14.937944888638132,0.9909495940479663,0.5716257943991413,1.4420699180484804
ssp126,2031,Pattern 2,31,1279.5939635508134,1353.9180843754643,74.32412082465089,37.69125115130857,109.47272958751702,5.80945325989126,2.939616190812723,8.57946342174653
ssp126,2031,Pattern 3,31,135.04932050811178,136.05633722615187,1.007016718040132,0.314264720096929,1.815759624652929,0.7457759680705531,0.23197063165393822,1.3402805982566088
ssp126,2032,Pattern 1,31,1035.3244698881772,1047.5397044399274,12.215234551749942,7.672172221883507,16.65843781623908,1.1804857881525759,0.7395260168404815,1.6230249430839818
ssp126,2032,Pattern 2,31,1281.2889590903528,1369.2868886498495,87.9979295594966,57.373690410532475,117.85115114156439,6.871169530048442,4.463689932885852,9.191447389499363
ssp126,2032,Pattern 3,31,135.10799411540083,136.2935057994666,1.185511684065832,0.6546864556339025,1.8669882952344972,0.8779347906519039,0.48283921983027517,1.3769265640762993
ssp126,2033,Pattern 1,31,1033.860319594812,1045.2289974280602,11.368677833248261,6.544795722264006,16.79549144989197,1.0999973517796922,0.6318173685342704,1.6213925783828347
