line_id,pattern,pattern_order,peak_month,seasonality_ratio,summer_winter_ratio,month,normal_index
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,1,0.9148915733202524
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,2,0.9585249981460943
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,3,0.7891602857449905
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,4,0.6938480306041609
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,5,0.7403892082864527
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,6,1.0778951399898298
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,7,1.4324422581443392
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,8,1.4666434782225748
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,9,1.2886239479130888
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,10,0.6939095381714775
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,11,0.7080389323921396
万书线（462）,Pattern 2,2,7,0.7618864637854514,1.5379749536514282,12,0.9662257711674732
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,1,1.0423053169929337
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,2,1.1551989727616379
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,3,1.010493928794197
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,4,0.9303776761244247
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,5,0.9304708138366448
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,6,0.9022819091409949
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,7,1.057153700826134
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,8,1.0110808130999858
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,9,0.9301061033843696
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,10,0.9802451371731853
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,11,0.9708457416168137
万利高速（457）,Pattern 1,1,2,0.259866024520002,0.966926634311676,12,1.0993568366409767
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,1,0.5485153210454408
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,2,0.9965955561830475
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,3,0.5087101681372777
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,4,0.359567196688057
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,5,0.7688471273215912
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,6,0.9487916788479049
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,7,1.8917617281996102
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,8,2.1319382827697586
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,9,1.5242265003900028
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,10,0.4052897238447294
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,11,0.7145798423963541
万复线（467）,Pattern 2,2,8,1.608937312163153,2.55818510055542,12,1.0778268565093476
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,1,1.2146295169872918
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,2,1.168329859124498
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,3,0.7790914651690374
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,4,0.5882543943378038
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,5,0.7014312021275193
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,6,0.969287148652362
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,7,1.375942860987761
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,8,1.5453910648825688
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,9,1.102094771619326
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,10,0.6146370636845443
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,11,0.7264312447302398
万州桥四回（454）,Pattern 2,2,8,0.8544866717268382,1.2241345643997192,12,1.045442268246434
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,1,0.9007184872968906
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,2,0.7743583035230507
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,3,1.1757263558025108
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,4,1.0524025015395881
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,5,0.9124490785176111
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,6,0.9631625369607908
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,7,0.9951933444859598
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,8,1.3143609064022401
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,9,0.9440086335929364
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,10,0.7903086412538451
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,11,1.0383250641996018
万永线（463）,Pattern 1,1,8,0.5627354912891744,1.237014889717102,12,1.0132691659647963
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,1,0.9697355312098357
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,2,0.864859735781832
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,3,0.7420832660450686
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,4,0.8401116640192119
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,5,0.7083795749550365
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,6,0.9185199664870479
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,7,1.4676505294043132
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,8,1.874087438867214
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,9,1.064728414520776
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,10,0.6091115674525385
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,11,0.9188190166789729
万滨一回（459）,Pattern 2,2,8,0.9979243045922924,1.8151743412017824,12,1.016389397599894
万滨二回（461）,Pattern 2,2,8,1.270192635699546,2.0643720626831055,1,0.9913531286274044
万滨二回（461）,Pattern 2,2,8,1.270192635699546,2.0643720626831055,2,0.8352914984289582
万滨二回（461）,Pattern 2,2,8,1.270192635699546,2.0643720626831055,3,0.7109006748706677
