pattern,n_lines,normal_mean_kwh,mean_share,median_summer_winter_ratio,median_seasonality_ratio,loaded_lines,pattern_label,mean_share_pct
1.0,136,2838530.181678772,0.4195833041497703,1.1375634670257568,0.6325544932580058,307,Pattern 1,41.95833041497703
2.0,160,3512059.856246948,0.4614933380657096,1.723689079284668,1.02131618764957,307,Pattern 2,46.14933380657096
3.0,11,370521.1400146485,0.118923357784505,0.5314247012138367,1.810733853940791,307,Pattern 3,11.8923357784505
