split,pattern,line_name,n_days,r2_kwh,mae_mwh_per_day,rmse_mwh_per_day,mean_observed_mwh_per_day,mean_predicted_mwh_per_day,bias_mwh_per_day,nrmse,line_length_km,line_length_km_pattern_norm,r2_kwh_pattern_norm,representative_score,min_pairwise_distance_km,mean_pairwise_distance_km
holdout_2024,Pattern 1,长永线（455）,366,0.9540011984197312,0.6539972952948223,1.5491126911583877,8.417593804995764,8.169334960187069,-0.2482588448086952,0.1840327208755313,34.8292923644352,0.27464782952401157,0.929039272302813,0.582360431017558,47.97800980724194,55.75087316416213
holdout_2024,Pattern 2,壤武线（457）,366,0.8015999377261439,2.0220828891543356,3.761434630038318,14.188294304475871,13.737345760324612,-0.4509485441512599,0.2651083033181605,68.12885907903139,1.0,0.6237097226474213,0.582360431017558,47.97800980724194,55.75087316416213
holdout_2024,Pattern 3,白普线（455）,366,0.7382320441607935,1.9979630823317271,2.919860719183468,6.613427540738225,5.551114327394246,-1.0623132133439794,0.4415049081882793,38.65940045868785,0.3860771792590073,0.41510589272764725,0.582360431017558,47.97800980724194,55.75087316416213
