split,pattern,line_name,n_days,r2_kwh,mae_mwh_per_day,rmse_mwh_per_day,mean_observed_mwh_per_day,mean_predicted_mwh_per_day,bias_mwh_per_day,nrmse
train_2021_2023,Pattern 2,万书线（462）,1049,0.9408328395261965,1.747389483674899,3.226139607376216,46.59428934282407,45.99493864692564,-0.5993506958984248,0.0692389486539742
train_2021_2023,Pattern 1,万利高速（457）,1049,0.8681458572405459,0.1684420749304036,0.2740723873652558,4.042012961813983,4.0192432835727105,-0.0227696782412726,0.0678059150117759
train_2021_2023,Pattern 2,万复线（467）,1049,0.9690599730058066,1.7443714544169897,3.6018584457189995,33.39100308445481,32.787562770236214,-0.6034403142185963,0.1078691297955
train_2021_2023,Pattern 2,万州桥四回（454）,1049,0.9685311338249336,0.1550179544115787,0.2566636512652703,3.5255873318863564,3.5163900838875564,-0.0091972479987995,0.0728002534340691
train_2021_2023,Pattern 1,万永线（463）,1049,0.9133618667374556,2.232204168272874,3.859771265033595,51.00157699608631,50.220874545349176,-0.7807024507371196,0.0756794493889822
train_2021_2023,Pattern 2,万滨一回（459）,1049,0.953676465745055,1.923955971699303,4.547550862341475,41.96507234600568,41.141324023484046,-0.8237483225216363,0.1083651381521881
train_2021_2023,Pattern 2,万滨二回（461）,1049,0.9639258222974252,1.5784179199772663,4.977076640323681,32.77364423102091,32.097978175073266,-0.675666055947641,0.151862167210956
train_2021_2023,Pattern 1,三铁二回（462）,1049,0.99162870317049,0.2550502395262345,0.8294601333475775,8.697254219827895,8.645197077821162,-0.052057142006733,0.0953703447527823
train_2021_2023,Pattern 2,三高线（461）,1049,0.9429525226075992,1.2536756258081292,2.8764356427415203,21.807146106524637,21.284457071978892,-0.5226890345457422,0.1319033507956779
train_2021_2023,Pattern 2,五乐线（442）,1049,0.9671277571492768,1.126553688884072,3.0667522588845606,26.922001578697156,26.38486930726436,-0.5371322714327941,0.1139124908643947
train_2021_2023,Pattern 2,五俪一回（477）,1049,0.9601659975170254,1.9092642544984324,4.001236150355997,39.67060818213408,38.758646078947955,-0.9119621031861256,0.1008614773936835
