line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year
北山五回（458）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
北山四回（457）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
北清一回(459),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
北清二回(461),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
医专一回（476）,18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
双走线（451）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
双龙线（455）,16.635847,25.377766,234.41302,1522.9398,365,ssp126,ACCESS-CM2,2021
古化线(456),18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
古国线(462),18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
古沙线(454),18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
古瑞二回(464),18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
古瑞线(455),18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
古铁线(458),18.366682,27.147394,405.96756,1248.8552,365,ssp126,ACCESS-CM2,2021
后关线（461）,18.364466,27.203056,415.64426,1257.7206,365,ssp126,ACCESS-CM2,2021
后桥线（455）,17.588327,26.40172,330.87405,1375.7518,365,ssp126,ACCESS-CM2,2021
后紫线（462）,18.364466,27.203056,415.64426,1257.7206,365,ssp126,ACCESS-CM2,2021
后铁线（454）,18.364466,27.203056,415.64426,1257.7206,365,ssp126,ACCESS-CM2,2021
周医一回(464),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
周医二回(468),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
周家坝一回(456),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
周柳线(452),18.008226,26.807278,371.17703,1304.8276,365,ssp126,ACCESS-CM2,2021
