scenario,year,pattern,model_count,mean_temp_c,mean_temp_p10_c,mean_temp_p90_c,baseline_temp_c,annual_temp_increase_c_mean,annual_temp_increase_c_p10,annual_temp_increase_c_p90
ssp126,2026,Pattern 1,31,17.52110403523977,16.881396656282625,18.15854732001205,17.200822110462592,0.3202819247771772,-0.31942545417996726,0.9577252095494586
ssp126,2026,Pattern 2,31,18.29429141107495,17.641174586379385,18.930940395425523,17.971706861349187,0.322584549725764,-0.3305322749698014,0.9592335340763363
ssp126,2026,Pattern 3,31,16.437771047912456,15.810160665154733,17.074141960003022,16.11738071504211,0.3203903328703463,-0.30722004988737694,0.9567612449609122
ssp126,2027,Pattern 1,31,17.538453078830653,16.94267399088503,17.87840811647167,17.200822110462592,0.3376309683680574,-0.25814811957756234,0.6775860060090793
ssp126,2027,Pattern 2,31,18.31388844062437,17.715251249034566,18.658896748048083,17.971706861349187,0.3421815792751826,-0.2564556123146211,0.6871898866988957
ssp126,2027,Pattern 3,31,16.45266131126335,15.878352320257754,16.776092896544167,16.11738071504211,0.3352805962212389,-0.23902839478435567,0.6587121815020573
ssp126,2028,Pattern 1,31,17.73876091964617,17.15832066435976,18.371832413875467,17.200822110462592,0.537938809183579,-0.042501446102832574,1.1710103034128743
ssp126,2028,Pattern 2,31,18.515525747959632,17.93825633725567,19.14933609528439,17.971706861349187,0.5438188866104465,-0.03345052409351723,1.1776292339352032
ssp126,2028,Pattern 3,31,16.64849418367319,16.065982897957877,17.27917503697676,16.11738071504211,0.5311134686310793,-0.051397817084232855,1.16179432193465
ssp126,2029,Pattern 1,31,17.57666117695934,16.589499105335264,18.32915787825256,17.200822110462592,0.3758390664967494,-0.6113230051273284,1.1283357677899666
ssp126,2029,Pattern 2,31,18.351337497745522,17.372619748555653,19.109923479296167,17.971706861349187,0.3796306363963367,-0.5990871127935335,1.1382166179469806
ssp126,2029,Pattern 3,31,16.49000481040737,15.512507868188266,17.21720014973831,16.11738071504211,0.3726240953652613,-0.6048728468538442,1.099819434696201
ssp126,2030,Pattern 1,31,17.656561622272026,16.928526930245603,18.408347170858587,17.200822110462592,0.4557395118094333,-0.2722951802169895,1.2075250603959944
ssp126,2030,Pattern 2,31,18.431481905225045,17.693227119279605,19.182342209715543,17.971706861349187,0.4597750438758595,-0.2784797420695817,1.2106353483663561
ssp126,2030,Pattern 3,31,16.571873744986334,15.863610638466639,17.324732068723524,16.11738071504211,0.4544930299442248,-0.2537700765754707,1.207351353681414
ssp126,2031,Pattern 1,31,17.7091575992819,17.104970342988132,18.324521909097346,17.200822110462592,0.5083354888193106,-0.09585176747446056,1.1236997986347532
ssp126,2031,Pattern 2,31,18.485472865718723,17.88344809481417,19.09270252387741,17.971706861349187,0.5137660043695366,-0.08825876653501652,1.1209956625282231
ssp126,2031,Pattern 3,31,16.62097161776561,16.013290357423017,17.249202331833033,16.11738071504211,0.5035909027235,-0.1040903576190928,1.1318216167909227
ssp126,2032,Pattern 1,31,17.913385881673218,17.170370629139956,18.7623276083396,17.200822110462592,0.7125637712106273,-0.030451481322636198,1.5615054978770075
ssp126,2032,Pattern 2,31,18.68762677817287,17.951953474016456,19.543070481906753,17.971706861349187,0.7159199168236817,-0.01975338733273091,1.571363620557566
ssp126,2032,Pattern 3,31,16.823932620416862,16.08820372842463,17.65111380808872,16.11738071504211,0.7065519053747551,-0.029176986617478917,1.5337330930466102
ssp126,2033,Pattern 1,31,17.850218889517215,17.043200983459286,18.595803536398613,17.200822110462592,0.6493967790546228,-0.15762112700330633,1.3949814259360203
ssp126,2033,Pattern 2,31,18.625743154882375,17.82425959522544,19.36888330009147,17.971706861349187,0.6540362935331893,-0.14744726612374848,1.3971764387422816
ssp126,2033,Pattern 3,31,16.76279829744852,15.95272054796923,17.51227729025289,16.11738071504211,0.6454175824064106,-0.16466016707287956,1.3948965752107796
ssp126,2034,Pattern 1,31,17.877943064686654,16.923745059207008,18.465460443783044,17.200822110462592,0.6771209542240624,-0.2770770512555849,1.2646383333204518
ssp126,2034,Pattern 2,31,18.65543690386652,17.705086830032624,19.278109385081166,17.971706861349187,0.6837300425173304,-0.2666200313165632,1.306402523731979
ssp126,2034,Pattern 3,31,16.78294162378218,15.828371678745606,17.2955507716467,16.11738071504211,0.6655609087400661,-0.28900903629650365,1.1781700566045892
ssp126,2035,Pattern 1,31,18.02247482578621,17.42946922796011,18.57429210650584,17.200822110462592,0.8216527153236219,0.2286471174975162,1.373469996043248
ssp126,2035,Pattern 2,31,18.797241104877305,18.211587470496255,19.350933030445997,17.971706861349187,0.8255342435281158,0.2398806091470682,1.3792261690968104
ssp126,2035,Pattern 3,31,16.936078105244743,16.343150951085512,17.499255228706424,16.11738071504211,0.8186973902026334,0.2257702360434024,1.3818745136643145
ssp126,2036,Pattern 1,31,18.060018248471433,17.453134885186063,18.893432841785806,17.200822110462592,0.8591961380088387,0.252312774723471,1.6926107313232137
ssp126,2036,Pattern 2,31,18.833266398095372,18.226917292777948,19.66992842168735,17.971706861349187,0.8615595367461845,0.2552104314287611,1.6982215603381619
ssp126,2036,Pattern 3,31,16.968623981061203,16.373946642661558,17.7610217710505,16.11738071504211,0.8512432660190936,0.2565659276194481,1.6436410560083914
ssp126,2037,Pattern 1,31,17.870888349948487,17.367625537902487,18.55683191603217,17.200822110462592,0.6700662394858943,0.16680342743989485,1.3560098055695775
ssp126,2037,Pattern 2,31,18.644891859145186,18.13719826645389,19.333727680790634,17.971706861349187,0.6731849977959997,0.16549140510470295,1.3620208194414474
ssp126,2037,Pattern 3,31,16.783382405515113,16.289086971217408,17.4710226253469,16.11738071504211,0.6660016904730031,0.17170625617529822,1.3536419103047912
ssp126,2038,Pattern 1,31,18.10593088583781,17.30698651141857,18.806070107029548,17.200822110462592,0.9051087753752198,0.10616440095597923,1.6052479965669555
ssp126,2038,Pattern 2,31,18.881578943781374,18.071733882003887,19.581328209198354,17.971706861349187,0.909872082432187,0.10002702065470004,1.609621347849167
ssp126,2038,Pattern 3,31,17.01083780963024,16.250013843746387,17.68383202562533,16.11738071504211,0.8934570945881267,0.13263312870427768,1.5664513105832185
ssp126,2039,Pattern 1,31,18.04804212289653,17.20697813699049,19.075195219818085,17.200822110462592,0.8472200124339366,0.0061560265278970405,1.874373109355492
ssp126,2039,Pattern 2,31,18.821117285958525,17.98049536673253,19.85590497396541,17.971706861349187,0.8494104246093396,0.008788505383343193,1.8841981126162217
ssp126,2039,Pattern 3,31,16.963131330974647,16.12822355898859,17.974662905030126,16.11738071504211,0.8457506159325389,0.01084284394648094,1.857282189988016
ssp126,2040,Pattern 1,31,17.97085629888726,17.168349030717504,18.759429261858777,17.200822110462592,0.7700341884246665,-0.032473079745088285,1.5586071513961848
ssp126,2040,Pattern 2,31,18.745155801115274,17.945763480377117,19.526181852057167,17.971706861349187,0.7734489397660862,-0.02594338097206972,1.5544749907079805
ssp126,2040,Pattern 3,31,16.88423207364802,16.086808912199793,17.692857579998,16.11738071504211,0.766851358605909,-0.030571802842317197,1.575476864955892
ssp126,2041,Pattern 1,31,17.99467167933173,17.170783835292344,18.57695079765543,17.200822110462592,0.793849568869139,-0.030038275170248596,1.376128687192839
ssp126,2041,Pattern 2,31,18.766915064590744,17.94751311761005,19.359518607874985,17.971706861349187,0.7952082032415569,-0.02419374373913641,1.3878117465257986
ssp126,2041,Pattern 3,31,16.90273963650777,16.089141072313616,17.457932715310687,16.11738071504211,0.7853589214656614,-0.028239642728493664,1.340552000268577
ssp126,2042,Pattern 1,31,18.113592939367386,17.50065688727905,18.76783520892044,17.200822110462592,0.9127708289047917,0.2998347768164571,1.5670130984578492
ssp126,2042,Pattern 2,31,18.888838411729896,18.26870568155612,19.54969095978446,17.971706861349187,0.9171315503807074,0.2969988202069338,1.577984098435273
ssp126,2042,Pattern 3,31,17.02085691643807,16.406866612893545,17.65941129405355,16.11738071504211,0.9034762013959601,0.28948589785143497,1.542030579011442
ssp126,2043,Pattern 1,31,18.281106000933576,17.4590235026818,18.949665613979644,17.200822110462592,1.080283890470984,0.2582013922192061,1.748843503517051
ssp126,2043,Pattern 2,31,19.05748677654555,18.228752263502585,19.72652327184509,17.971706861349187,1.0857799151963585,0.25704540215339833,1.754816410495902
ssp126,2043,Pattern 3,31,17.18746284801104,16.368171756462363,17.855363589730445,16.11738071504211,1.070082132968932,0.25079104142025344,1.7379828746883348
ssp126,2044,Pattern 1,31,18.12560673630184,17.56434268960787,18.722809984644393,17.200822110462592,0.9247846258392463,0.3635205791452769,1.5219878741818
ssp126,2044,Pattern 2,31,18.900096108431622,18.333695412876118,19.506544602918137,17.971706861349187,0.928389247082437,0.361988551526931,1.5348377415689498
ssp126,2044,Pattern 3,31,17.03473315211353,16.493933085683405,17.610025922956456,16.11738071504211,0.9173524370714226,0.37655237064129565,1.4926452079143466
ssp126,2045,Pattern 1,31,18.335663982170246,17.532593720110857,18.925231172374552,17.200822110462592,1.134841871707655,0.33177160964826413,1.7244090619119596
ssp126,2045,Pattern 2,31,19.110794909162255,18.320379318574403,19.6954147929537,17.971706861349187,1.1390880478130685,0.34867245722521645,1.7237079316045119
ssp126,2045,Pattern 3,31,17.240327674198554,16.41814302347472,17.843955998059137,16.11738071504211,1.122946959156445,0.30076230843260987,1.7265752830170271
ssp126,2046,Pattern 1,31,18.310462609706654,17.41899540911832,19.216089425194244,17.200822110462592,1.1096404992440614,0.21817329865572788,2.015267314731652
ssp126,2046,Pattern 2,31,19.084591979702477,18.186108703975496,19.99548862800681,17.971706861349187,1.1128851183532897,0.2144018426263088,2.023781766657624
ssp126,2046,Pattern 3,31,17.22328125980803,16.36686723497348,18.138226946599108,16.11738071504211,1.1059005447659198,0.24948651993137005,2.020846231556998
ssp126,2047,Pattern 1,31,18.221291010964432,17.571405563979404,19.23955080284818,17.200822110462592,1.0204689005018392,0.37058345351681155,2.038728692385586
ssp126,2047,Pattern 2,31,18.99347521274699,18.337747126251585,20.011377315034043,17.971706861349187,1.0217683513978055,0.3660402649023986,2.039670453684856
ssp126,2047,Pattern 3,31,17.13551998042046,16.483781640112934,18.155043214210096,16.11738071504211,1.018139265378352,0.366400925070824,2.037662499167986
ssp126,2048,Pattern 1,31,18.256287021192566,17.56281862590916,19.356426833537256,17.200822110462592,1.0554649107299758,0.36199651544656675,2.1556047230746636
ssp126,2048,Pattern 2,31,19.03275381819847,18.33661245229835,20.13959302679473,17.971706861349187,1.0610469568492817,0.36490559094916364,2.1678861654455446
ssp126,2048,Pattern 3,31,17.165408444003674,16.4869253861414,18.272142822282557,16.11738071504211,1.048027728961563,0.3695446710992911,2.1547621072404475
ssp126,2049,Pattern 1,31,18.339184634368728,17.485147649733058,19.416850115872922,17.200822110462592,1.1383625239061341,0.28432553927046555,2.2160280054103296
ssp126,2049,Pattern 2,31,19.11564444767829,18.26260075055176,20.196483489589315,17.971706861349187,1.1439375863291017,0.29089388920257164,2.2247766282401287
ssp126,2049,Pattern 3,31,17.246332414903705,16.411023415659443,18.30321792956005,16.11738071504211,1.128951699861594,0.2936427006173332,2.1858372145179388
ssp126,2050,Pattern 1,31,18.295069625825302,17.553905455627913,19.257658930193156,17.200822110462592,1.0942475153627114,0.35308334516532014,2.056836819730563
ssp126,2050,Pattern 2,31,19.06810655584975,18.33099802554292,20.0271950570339,17.971706861349187,1.0963996945005605,0.35929116419373486,2.0554881956847133
ssp126,2050,Pattern 3,31,17.207373988296784,16.456550482027232,18.128633977419412,16.11738071504211,1.089993273254673,0.3391697669851226,2.011253262377302
ssp126,2051,Pattern 1,31,18.2723967730061,17.432610103460696,19.302520545700233,17.200822110462592,1.0715746625435079,0.23178799299810393,2.1016984352376404
ssp126,2051,Pattern 2,31,19.04618567631933,18.20808530949725,20.09570179450645,17.971706861349187,1.0744788149701423,0.23637844814806286,2.123994933157263
ssp126,2051,Pattern 3,31,17.18248539062722,16.352442984575696,18.16710694474794,16.11738071504211,1.0651046755851097,0.23506226953358578,2.049726229705829
ssp126,2052,Pattern 1,31,18.27067793487105,17.538786585632735,19.193137506658154,17.200822110462592,1.0698558244084555,0.3379644751701427,1.9923153961955613
ssp126,2052,Pattern 2,31,19.045690159208913,18.306448964976045,19.966041293875534,17.971706861349187,1.0739832978597275,0.3347421036268585,1.9943344325263475
ssp126,2052,Pattern 3,31,17.182091522632874,16.46902338919672,18.116640157102808,16.11738071504211,1.064710807590764,0.35164267415461126,1.9992594420606977
ssp126,2053,Pattern 1,31,18.30665485249637,17.365768114871532,19.284063227016567,17.200822110462592,1.1058327420337755,0.16494600440893947,2.0832411165539746
ssp126,2053,Pattern 2,31,19.080280872491727,18.151684050621512,20.058887086437664,17.971706861349187,1.1085740111425417,0.17997718927232498,2.0871802250884777
ssp126,2053,Pattern 3,31,17.21784656625221,16.271360872989646,18.203687719458273,16.11738071504211,1.1004658512101009,0.1539801579475366,2.086307004416163
ssp126,2054,Pattern 1,31,18.370022984577723,17.636738562561995,19.035888092450396,17.200822110462592,1.169200874115129,0.4359164520994021,1.8350659819878032
ssp126,2054,Pattern 2,31,19.144579122281627,18.405022108928982,19.816698133537244,17.971706861349187,1.172872260932443,0.4333152475797952,1.8449912721880573
ssp126,2054,Pattern 3,31,17.282205344192725,16.58040766570921,17.95360592217475,16.11738071504211,1.1648246291506166,0.46302695066709987,1.8362252071326388
ssp126,2055,Pattern 1,31,18.408959718770372,17.585850021053748,19.645221180049745,17.200822110462592,1.2081376083077813,0.3850279105911554,2.4443990695871527
ssp126,2055,Pattern 2,31,19.18311997022543,18.347916345241366,20.425088947128234,17.971706861349187,1.2114131088762417,0.376209483892179,2.4533820857790474
ssp126,2055,Pattern 3,31,17.320483388401996,16.50866043809407,18.527382413996595,16.11738071504211,1.2031026733598893,0.3912797230519587,2.410001698954485
ssp126,2056,Pattern 1,31,18.414279733953908,17.632835232720026,19.2556172494695,17.200822110462592,1.2134576234913153,0.43201312225743393,2.054795139006906
ssp126,2056,Pattern 2,31,19.18982582395214,18.413380533933232,20.03512765797415,17.971706861349187,1.2181189626029572,0.4416736725840451,2.063420796624964
ssp126,2056,Pattern 3,31,17.32233696563295,16.53158741161262,18.143127404567608,16.11738071504211,1.2049562505908373,0.4142066965705098,2.025746689525498
ssp126,2057,Pattern 1,31,18.528926141101504,17.875698066049978,19.53739018370989,17.200822110462592,1.3281040306389116,0.6748759555873853,2.336568073247296
ssp126,2057,Pattern 2,31,19.303459530400893,18.65175101717531,20.31963660331531,17.971706861349187,1.3317526690517043,0.6800441558261241,2.347929741966123
ssp126,2057,Pattern 3,31,17.440342186671586,16.808577293994023,18.404803079337878,16.11738071504211,1.3229614716294764,0.6911965789519137,2.287422364295768
ssp126,2058,Pattern 1,31,18.581018279285253,17.912216068307952,19.541111299091668,17.200822110462592,1.3801961688226614,0.7113939578453596,2.3402891886290753
ssp126,2058,Pattern 2,31,19.3577643609971,18.682102862669915,20.326633333636973,17.971706861349187,1.3860574996479134,0.7103960013207278,2.3549264722877865
ssp126,2058,Pattern 3,31,17.483544763388114,16.830751808410415,18.416110770950436,16.11738071504211,1.3661640483460045,0.7133710933683055,2.298730055908326
ssp126,2059,Pattern 1,31,18.49309765192546,17.66614493724371,19.46554686474512,17.200822110462592,1.2922755414628653,0.4653228267811187,2.264724754282529
ssp126,2059,Pattern 2,31,19.269007784391306,18.452911504602213,20.241180432598888,17.971706861349187,1.2973009230421206,0.4812046432530259,2.2694735712497014
ssp126,2059,Pattern 3,31,17.400203737924357,16.56834653960982,18.387331825714085,16.11738071504211,1.2828230228822484,0.45096582456771017,2.2699511106719754
ssp126,2060,Pattern 1,31,18.4860954752751,17.5351942499352,19.616147013887513,17.200822110462592,1.2852733648125063,0.334372139472606,2.4153249034249207
ssp126,2060,Pattern 2,31,19.260622520025382,18.30826029300775,20.388363960445712,17.971706861349187,1.2889156586761945,0.33655343165856166,2.4166570990965255
ssp126,2060,Pattern 3,31,17.39603251574058,16.460002206987177,18.518469932018373,16.11738071504211,1.2786518006984688,0.3426214919450672,2.4010892169762634
ssp126,2061,Pattern 1,31,18.488980409211102,17.916717053375557,19.45453014743178,17.200822110462592,1.28815829874851,0.7158949429129642,2.2537080369691864
ssp126,2061,Pattern 2,31,19.26317117278225,18.674198012100995,20.227919159878542,17.971706861349187,1.2914643114330662,0.7024911507518077,2.2562122985293556
ssp126,2061,Pattern 3,31,17.396790801929775,16.85300817046356,18.36215107224245,16.11738071504211,1.2794100868876646,0.7356274554214508,2.2447703572003412
ssp126,2062,Pattern 1,31,18.479458193484543,17.279174432144316,19.387563515816684,17.200822110462592,1.2786360830219492,0.07835232168172368,2.1867414053540912
ssp126,2062,Pattern 2,31,19.252179996550662,18.05068274234342,20.17368755029006,17.971706861349187,1.2804731352014755,0.07897588099423203,2.201980688940875
ssp126,2062,Pattern 3,31,17.394460534506134,16.238059425408917,18.283583663120897,16.11738071504211,1.2770798194640227,0.120678710366807,2.166202948078787
ssp126,2063,Pattern 1,31,18.52285748152477,17.678316184014427,19.47681936765044,17.200822110462592,1.3220353710621782,0.47749407355183493,2.2759972571878464
ssp126,2063,Pattern 2,31,19.295074750782398,18.444495458544015,20.25396481043348,17.971706861349187,1.3233678894332117,0.47278859719482824,2.2822579490842934
ssp126,2063,Pattern 3,31,17.43949683368441,16.62152270310863,18.394282974359506,16.11738071504211,1.322116118642297,0.5041419880665217,2.2769022593173958
ssp126,2064,Pattern 1,31,18.31654362726864,17.69219046796269,19.307250730602096,17.200822110462592,1.1157215168060475,0.49136835750009666,2.1064286201395035
ssp126,2064,Pattern 2,31,19.088188585087767,18.46542996668806,20.07851603246199,17.971706861349187,1.1164817237385816,0.49372310533887287,2.106809171112804
ssp126,2064,Pattern 3,31,17.23144619563483,16.6109375436888,18.232460363331636,16.11738071504211,1.1140654805927213,0.4935568286466889,2.1150796482895267
ssp126,2065,Pattern 1,31,18.311429847110958,17.49248636991286,19.27752291140083,17.200822110462592,1.110607736648364,0.2916642594502683,2.0767008009382373
ssp126,2065,Pattern 2,31,19.084042774332822,18.268138973394766,20.046838936168566,17.971706861349187,1.1123359129836357,0.2964321120455793,2.075132074819379
ssp126,2065,Pattern 3,31,17.22640240934274,16.391866138242413,18.177053840077342,16.11738071504211,1.1090216943006281,0.27448542320030356,2.059673125035232
ssp126,2066,Pattern 1,31,18.383541419133948,17.82867095582925,19.220490498721507,17.200822110462592,1.1827193086713534,0.6278488453666569,2.019668388258914
ssp126,2066,Pattern 2,31,19.156795288787254,18.59821090506301,19.985411677121842,17.971706861349187,1.1850884274380664,0.6265040437138225,2.0137048157726554
ssp126,2066,Pattern 3,31,17.30353059892186,16.737963127321606,18.135639266143876,16.11738071504211,1.1861498838797497,0.6205824122794965,2.0182585511017663
ssp126,2067,Pattern 1,31,18.501967254994124,17.753725979249786,19.25262727982466,17.200822110462592,1.3011451445315307,0.5529038687871939,2.051805169362069
ssp126,2067,Pattern 2,31,19.275792013267075,18.525480397134334,20.016363428730294,17.971706861349187,1.3040851519178895,0.5537735357851474,2.0446565673811072
ssp126,2067,Pattern 3,31,17.41712929619882,16.656908990687246,18.1635668435202,16.11738071504211,1.299748581156709,0.5395282756451358,2.046186128478091
ssp126,2068,Pattern 1,31,18.479088642158626,17.666617866585696,19.363189038933307,17.200822110462592,1.2782665316960324,0.46579575612310364,2.162366928470714
ssp126,2068,Pattern 2,31,19.251565780805755,18.460598748613602,20.133893621165637,17.971706861349187,1.2798589194565662,0.48889188726441546,2.16218675981645
ssp126,2068,Pattern 3,31,17.392828668734065,16.554622044400645,18.279391973818495,16.11738071504211,1.2754479536919563,0.4372413293585353,2.162011258776385
ssp126,2069,Pattern 1,31,18.504485833950547,17.67439167296396,19.42273981226175,17.200822110462592,1.3036637234879551,0.4735695625013676,2.221917701799157
ssp126,2069,Pattern 2,31,19.27687168920372,18.437130727265117,20.200848903252496,17.971706861349187,1.3051648278545334,0.46542386591593043,2.229142041903309
ssp126,2069,Pattern 3,31,17.417486627309106,16.590790153805074,18.34363022870666,16.11738071504211,1.300105912266994,0.47340943876296393,2.226249513664552
ssp126,2070,Pattern 1,31,18.548179590114927,17.71616951751461,19.58932717955989,17.200822110462592,1.347357479652334,0.515347407052019,2.388505069097299
ssp126,2070,Pattern 2,31,19.320522066587813,18.491631983451484,20.365645859578027,17.971706861349187,1.3488152052386235,0.5199251221022969,2.3939389982288404
ssp126,2070,Pattern 3,31,17.46553621009316,16.64999669593228,18.49482877407486,16.11738071504211,1.348155495051047,0.5326159808901707,2.3774480590327514
ssp126,2071,Pattern 1,31,18.298752529763814,17.40846376063175,19.09927939161032,17.200822110462592,1.097930419301224,0.20764165016915825,1.8984572811477278
ssp126,2071,Pattern 2,31,19.07382806600434,18.184457601096764,19.88374892960112,17.971706861349187,1.1021212046551507,0.21275073974757674,1.9120420682519317
ssp126,2071,Pattern 3,31,17.209011750401864,16.31913302228894,18.00427249489226,16.11738071504211,1.0916310353597551,0.20175230724683146,1.8868917798501492
ssp126,2072,Pattern 1,31,18.357282862018987,17.630976756592293,19.335220982889858,17.200822110462592,1.156460751556394,0.4301546461297008,2.1343988724272656
ssp126,2072,Pattern 2,31,19.13156363864095,18.399358119429348,20.11525595079468,17.971706861349187,1.159856777291763,0.4276512580801608,2.143549089445493
ssp126,2072,Pattern 3,31,17.268060704305558,16.55903209226969,18.19946660736009,16.11738071504211,1.150679989263449,0.4416513772275792,2.0820858923179806
ssp126,2073,Pattern 1,31,18.449685712864138,17.524680263156807,19.5568759687159,17.200822110462592,1.2488636024015451,0.32385815269421414,2.3560538582533077
ssp126,2073,Pattern 2,31,19.224576696034273,18.30420059664856,20.3092927601438,17.971706861349187,1.252869834685085,0.3324937352993729,2.3375858987946145
ssp126,2073,Pattern 3,31,17.36266369001353,16.437207200262417,18.497296117064906,16.11738071504211,1.2452829749714227,0.31982648522030743,2.379915402022796
ssp126,2074,Pattern 1,31,18.391454022287874,17.502091801288117,19.49128648074559,17.200822110462592,1.190631911825281,0.30126969082552435,2.290464370282997
ssp126,2074,Pattern 2,31,19.16411294526776,18.26560977798336,20.266431994808304,17.971706861349187,1.1924060839185713,0.293902916634174,2.294725133459117
ssp126,2074,Pattern 3,31,17.30645851979798,16.406441948243145,18.382724329314115,16.11738071504211,1.1890778047558714,0.2890612332010356,2.2653436142720054
ssp126,2075,Pattern 1,31,18.506387102806386,17.61401541143588,19.61739123768162,17.200822110462592,1.3055649923437929,0.4131933009732869,2.4165691272190273
ssp126,2075,Pattern 2,31,19.28006735864359,18.384184657935126,20.393147162470164,17.971706861349187,1.308360497294402,0.4124777965859394,2.4214403011209775
ssp126,2075,Pattern 3,31,17.416614410499417,16.53349279613496,18.49495173307165,16.11738071504211,1.2992336954573063,0.4161120810928516,2.377571018029542
ssp126,2076,Pattern 1,31,18.430700627728708,17.591281418941378,19.17634122682099,17.200822110462592,1.2298785172661177,0.3904593084787855,1.9755191163583987
ssp126,2076,Pattern 2,31,19.20506406352534,18.37979736361773,19.965717392450664,17.971706861349187,1.2333572021761539,0.4080905022685428,1.9940105311014769
ssp126,2076,Pattern 3,31,17.34428957664027,16.49134556617826,18.060956000537093,16.11738071504211,1.2269088615981625,0.37396485113615086,1.9435752854949833
ssp126,2077,Pattern 1,31,18.496703571472217,17.887817832033218,19.48981730689383,17.200822110462592,1.2958814610096219,0.686995721570625,2.2889951964312374
ssp126,2077,Pattern 2,31,19.271337964412332,18.658262373354518,20.26708754627772,17.971706861349187,1.2996311030631462,0.6865555120053308,2.2953806849285314
ssp126,2077,Pattern 3,31,17.41306157919368,16.86373763823698,18.423622820828626,16.11738071504211,1.2956808641515694,0.7463569231948703,2.3062421057865166
ssp126,2078,Pattern 1,31,18.4885692280925,17.39225831512176,19.340185113313236,17.200822110462592,1.2877471176299076,0.1914362046591691,2.1393630028506436
ssp126,2078,Pattern 2,31,19.263802559436,18.164614033700442,20.12363468063497,17.971706861349187,1.2920956980868141,0.19290717235125499,2.1519278192857847
