line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,downscaled_minus_raw_c
大安线（461）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
大新二回（467）,18.93903,27.596231,476.25604,1124.8448,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,0.2941020115009785
大桥一回（466）,18.93903,27.596231,476.25604,1124.8448,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,0.2941020115009785
大桥三回（455）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
大桥二回（462）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,17.472128479887072,26.6939849946288,303.58609642978166,1328.5008712611489,365,-1.288562209199842
大桥四回（468）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
大铁线（469）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
大高线（477）,18.93903,27.596231,476.25604,1124.8448,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.233131705104494,28.571088275627936,505.9606151898577,1051.0183403699002,365,0.2941020115009785
太九一回（464）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太九二回（469）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太九线（459）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太双一回（467）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太双三回（463）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太双二回（462）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太塘一回（468）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太塘二回（471）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太山一回（466）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
