line_name,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,scenario,model,year
光高线（459）,Pattern 1,18.195536780330237,27.567805048390028,392.1248515870413,1222.2559236097463,365,ssp126,ACCESS-CM2,2030
凉响线（459）,Pattern 2,17.55497017284226,26.724918315775607,305.93662137143554,1318.220561534834,365,ssp126,ACCESS-CM2,2030
凉甘线（458）,Pattern 2,17.55497017284226,26.724918315775607,305.93662137143554,1318.220561534834,365,ssp126,ACCESS-CM2,2030
凉青线（456）,Pattern 1,18.571984827300348,27.892395445864896,426.95394711847274,1161.383532545217,365,ssp126,ACCESS-CM2,2030
凉风线（454）,Pattern 1,18.571984827300348,27.892395445864896,426.95394711847274,1161.383532545217,365,ssp126,ACCESS-CM2,2030
凉高线（453）,Pattern 1,17.55497017284226,26.724918315775607,305.93662137143554,1318.220561534834,365,ssp126,ACCESS-CM2,2030
北山一回（453）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
北山三回（455）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
北山二回（454）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
北山五回（458）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
北山四回（457）,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
北清一回(459),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
北清二回(461),Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
医专一回（476）,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,ssp126,ACCESS-CM2,2030
双走线（451）,Pattern 1,17.10305132330024,26.202215457138195,257.1464469601598,1385.0967125795398,365,ssp126,ACCESS-CM2,2030
双龙线（455）,Pattern 2,17.10305132330024,26.202215457138195,257.1464469601598,1385.0967125795398,365,ssp126,ACCESS-CM2,2030
古化线(456),Pattern 1,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,ssp126,ACCESS-CM2,2030
古国线(462),Pattern 1,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,ssp126,ACCESS-CM2,2030
古沙线(454),Pattern 2,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,ssp126,ACCESS-CM2,2030
古瑞二回(464),Pattern 1,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,ssp126,ACCESS-CM2,2030
古瑞线(455),Pattern 1,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,ssp126,ACCESS-CM2,2030
古铁线(458),Pattern 2,18.180680656406178,27.397984203292143,373.81592575924594,1217.1545830636983,365,ssp126,ACCESS-CM2,2030
